Spingarn Medal 	स्पिनगार्न मेडल 
Asoka De Silva 	असोका डे सिल्वा 
Abdul nafi 	अब्दुल नफी 
Robin Jackman 	रॉबिन जैकमन 
Acharya Tulsi 	आचार्य तुलसी 
Doosri Shaadi 	दूसरी शादी 
Sindoor Ka Daan 	सिंदूर का दान 
Apna Ghar 	अपना घर 
Dick Van Dyke 	डिक वैन डाइक 
Chittorgarh fort 	चित्तौड़गढ़ फोर्ट 
Tom Selleck 	टॉम सीलॅक 
Rel Capital 	रिलायंस कैपिटल 
Kaushal Lokuarachchi 	कौशल लोकुअराच्ची 
Syed Rasel 	सय्यद रसेल 
Jalte Deep 	जलते दीप 
Mardon Wali Baat 	मर्दों वाली बात 
Prem Ki Duniya 	प्रेम की दुनिया 
Barbara Walters 	बारबरा वॉल्टर्स 
Parambikulam Reservoir 	परमबिकुलम रिज़रवायर 
Fort zachary taylor 	फोर्ट ज़करी टेलर 
Prithvi Vallabh 	पृथ्वी वल्लभ 
Tata Finance 	टाटा फ़ायनेंस 
Kamakshi Amman 	कामाक्षी अम्मान 
University of Notre Dame 	यूनिवर्सिटी ऑफ नोटर डेम 
Mohsin Kamal 	मोहसिन कमाल 
Petronas Tower 2 	प्रेट्रोनॉस टॉवर 2 
Ek Hasina Do Diwane 	एक हसीना दो दीवाने 
Gurudwara Southhall 	गुरूद्वारा साउथहाल 
Begam Akhtar 	बेगम अख्तर 
Bata drums 	बाटा ड्रम्स 
Jaisalmer fort 	जैसलमेर फोर्ट 
Raste Pyar Ke 	रास्ते प्यार के 
Shotley battery 	शोटे बॅटरी 
Simon Davis 	साइमन डेविस 
Unichem Labs 	युनिकेम लैब्स 
American Legion 	अमेरिकन लेजन 
Nat King Cole 	नेट किंग कोल 
Gomoh Junction 	गोमोह जंक्शन 
Aon Centre 	एऑन सेन्टर 
Safed Jhooth 	सफ़ेद झूठ 
Fort scott 	फोर्ट स्कॉट 
Paapi Pet Ka Sawal Hai 	पापी पेट का सवाल है 
Abdur rahamaan 	अब्दुर रहमान 
Fox War 	फॉक्स वार 
Dayle Hadlee 	डायल हेडली 
Abdus shafi 	अब्दुस शफी 
Fort efford 	फोर्ट एफोर्ड 
University of Sunderland 	यूनिवर्सिटी ऑफ सुंदरलैंड 
Fort spion 	फोर्ट स्पायन 
Claude Henderson 	क्लॉड हेंडरसन 
Daulat Ke Dushman 	दौलत के दुश्मन 
Anokha Bandhan 	अनोखा बंधन 
Brendon Julian 	ब्रेंडन जूलियन 
Castle walk 	कैशल वॉक 
Shan Creek Community Bible 	शान क्रीक कम्युनिटी बायबल 
Kavi Sammelan 	कवि सम्मेलन 
Jyotiba Phule Nagar 	ज्योतीबा फुले नगर 
Mera Naseeb 	मेरा नसीब 
Stanley De Silva 	स्टैनले डे सिल्वा 
Aansoo Ban Gaye Phool 	आँसू बन गए फ़ूल 
Better Online Solutions 	बेटर ऑनलाइन सॉल्यूशंस 
Holly Hunter 	हॉली हंटर 
Mamta Ki Chhaon Mein 	ममता की छाँव में 
Asahi Kasei 	आशी कसेई 
Professional wrestling 	प्रोफेश्नल रेस्लिंग 
Do Dilon Ki Dastan 	दो दिलों की दास्तां 
Durga Mata 	दुर्गा माता 
Illustrators of the Future 	इलस्ट्रेटर्स ऑफ द फ्यूचर 
National Television Awards 	नेशनल टेलीविज़न अवार्ड्‍स 
Delaware Canal 	डेलावेयर केनाल 
Be Aabroo 	बे आबरू 
Bharwa Sumerpur 	भरवा सुमेरपुर 
Ram Ki Ganga 	राम की गंगा 
Maria Shriver 	मारिया श्रीवर 
David Joseph 	डेविड जोसफ 
Gandhidham Junction 	गांधीधाम जंक्शन 
William Shakespeare 	विलियम शेक्सपियर 
The Little White 	द लिटिल व्हाइट 
Fort loudoun 	फोर्ट लॉडून 
Badnera Junction 	बदनेरा जंक्शन 
Pyasi Atma 	प्यासी आत्मा 
Mera Gaon 	मेरा गाँव 
Aisa Bhi Hota Hai 	ऐसा भी होता है 
Darren Sammy 	डैरन सैम्मी 
Ladki Sahyadri Ki 	लड़की सह्याद्री की 
Port Louis 	पोर्ट लुईस 
Milton Pydanna 	मिल्टन पायडैना 
Manoj Prabhakar 	मनोज प्रभाकर 
Dorel Industries 	डॉरेल इंडस्ट्रीज 
Neil Foster 	नील फॉस्टर 
Apollo Tyres 	अपोलो टायर्स 
Miles Franklin Award 	माइल्स फ्रेंकलिन अवार्ड 
Costa Rica 	कोस्टा रिका 
Prem Geet 	प्रेम गीत 
Sammy Sosa 	सैमी सोसा 
Verne citadel 	वर्न सिटाडेल 
Mahasati Tulsi 	महासती तुलसी 
Ishq Per Jor Nahin 	इश्क़ पर ज़ोर नहीं 
Bahu Begum 	बहू बेगम 
India Glycols 	इंडिया ग्लायकॉल्स 
War of the Bavarian Succession 	वार ऑफ द बेवेरियन सक्सेशन 
Dectron International 	डेक्ट्रॉन इंटरनेशनल 
City University 	सिटी यूनिवर्सिटी 
Cape York 	केप यॉर्क 
Janis Joplin 	जेनिस जॉपलिन 
Coles Myer 	कोल्स मैर 
Gombe Stream 	गोंबे स्ट्रीम 
Abdul aleem 	अब्दुल अलीम 
Abdul halim 	अब्दुल हलीम 
Museum of African Art 	म्युज़ियम ऑफ अफ्रीकन आर्ट 
Kabhi Dhoop Kabhi Chhaon 	कभी धूप कभी छाँव 
Anokhi Mohabbat 	अनोखी मोहब्बत 
John Carry 	जॉन कॅरी 
Bharat Ke Shaheed 	भारत के शहीद 
Wayne Clark 	वेन क्लार्क 
Shareef Badmash 	शरीफ बदमाश 
Jaan Hatheli Pe 	जान हथेली पे 
Bad Aur Badnaam 	बद और बदनाम 
Lover Boy 	लवर बॉय 
Seiko Epson 	सिएको एप्सन 
Bikaner fort 	बीकानेर फोर्ट 
Mummy Daddy 	मम्मी डैडी 
Rahul Dravid 	राहुल द्रविड़ 
Fort frederick 	फोर्ट फ्रेडरिक 
Gurudwara Bibhor Sahib 	गुरूद्वारा बिभोर साहिब 
Andrew Puttick 	एण्ड्रयू पुटिक 
The Kings Medal of Merit in Gold 	द किंग्स मेडल ऑफ मेरिट इन गोल्ड 
Matsushita Electric Industrial 	मत्सुशिता इलेक्ट्रिक इंडस्ट्रीयल 
Fort nascopie 	फोर्ट नैस्कोपी 
Ray Charles 	रे चार्ल्स 
Mangal Pandey 	मंगल पांडे 
Pak Daman 	पाक दामन 
Mississippi Missouri 	मिसीसिपी मिसौरी 
David Smith 	डेविड स्मिथ 
Rabindranath Tagore 	रबीन्द्रनाथ टागोर 
International Crook 	इंटरनेशनल क्रुक 
Ajee Bus Shukriya 	अजी बस शुक्रिया 
Frank Zappa 	फ़्रेंक ज़ाप्पा 
Kossuth Prize 	कोसुथ प्राइज़ 
Sydney Harbour 	सिडनी हार्बर 
Pyar Ka Mausam 	प्यार का मौसम 
Ek Aur Sangram 	एक और संग्राम 
Medal of Nesterov 	मेडल ऑफ नेस्टेरोव 
Fields Medal 	फील्ड्‍स मेडल 
Visisht Seva Medal 	विशिष्ट सेवा मेडल 
Terry Cole Whittaker 	टैरी कोल व्हिटेकर 
Allahabad Bank 	इलाहाबाद बैंक 
Southern Petrochem 	साउदर्न पेट्रोकेम 
Philo Wallace 	फिलो वैलेस 
Ek Jaan Hai Hum 	एक जान हैं हम 
Lahu Ki Awaz 	लहू की आवाज़ 
Women's Literature Prize 	वुमेन्स लिट्रेचर प्राइज़ 
Fort bridger 	फोर्ट ब्रिजर 
Paul Jarvis 	पॉल जार्विस 
Satnam Overseas 	सतनाम ओवरसीस 
La Poste 	ला पोस्ट 
Frick Collection 	फ्रिक कलेक्शन 
Jamai Raja 	जमाई राजा 
Bharatpur Junction 	भरतपुर जंक्शन 
Erode Junction 	इरोड जंक्शन 
Teri Talash Mein 	तेरी तलाश में 
Pahunche Hue Log 	पहुँचे हुए लोग 
Abdul khaaliq 	अब्दुल खालिक 
Dorothy Canfield Fisher Children's Book Award 	डोरोथी कैनफील्ड फिशर चिल्ड्रन बुक अवार्ड 
Lawrence School 	लॉरेंस स्कूल 
Super Bowl 	सुपर बाउल 
Abdul mughaani 	अब्दुल मुग़ानी 
London University Business School 	लंडन यूनिवर्सिटी बिज़नेस स्कूल 
Railway Platform 	रेल्वे प्लेटफार्म 
Har Har Mahadev 	हर हर महादेव 
Rio Grande River 	रिओ ग्रांड रिवर 
Olfert Fischer 	ऑफर्ट फिशर 
Sajeewa de Silva 	सजीवा डे सिल्वा 
Muqaddar Ka Badshah 	मुकद्दर का बादशाह 
Fort saint joseph 	फोर्ट सेंट जोसफ 
Seeta Swayamvar 	सीता स्वयंवर 
Trevor Franklin 	ट्रेवर फ्रेंकलिन 
Paisa Ya Pyar 	पैसा या प्यार 
Wilson Castle 	व‍िल्सन कॅसल 
Perumpallam Reservoir 	पेरुमपल्लम रिज़रवायर 
Ethan Allen Homestead Museum 	एथन ऐलन होमस्टेड म्युज़ियम 
Bhimavaram Town 	भीमावरम टाउन 
Mark Dekker 	मार्क डेक्कर 
De Zeven Provincien 	डी ज़ेवेन प्रोविंसियन 
Fort bij rhijnauwen 	फोर्ट बिज ‍रिजनॉवेन 
Pehli Shadi 	पहली शादी 
John Edrich 	जॉन एडरिक 
Mettur Reservoir 	मेत्तुर रिज़रवायर 
Alok Kapali 	आलोक कपाली 
Gunung Rinjani 	गुनुंग रिनजनी 
Michael Drayton 	माइकल ड्राइटन 
Mushtaq Ahmed 	मुश्ताक अहमद 
Govindaraja Perumal 	गोविंदराज्जा पेरूमाल 
Sean Davies 	सीन डेवीस 
Gurudwara Chamkaur Sahib 	गुरूद्वारा चमकौर साहिब 
Historical Museum of Crete 	ह‍िस्टॉर‍िकल म्युज़ियम ऑफ क्रेट 
Breakwater fort 	ब्रेकवॉटर फोर्ट 
Himax Technologies 	हीमैक्स टेक्नोलॉजीज़ 
Phil Simmons 	फिल सिमंस 
Dainik janasadharan 	दैन‍िक जनसाधारण 
Elvis Presley 	एल्विस प्रीस्ले 
Tata Coffee 	टाटा कॉफ़ी 
Vittorio Emanuele 	विक्टोरियो इमानुएल 
Jecy Jackson 	जेसी जैक्सन 
Billy Graham 	बिली ग्राहम 
Badla Aur Balidan 	बदला और बलिदान 
Roland Holder 	रॉलेंड होल्डर 
Dil Ki Rani 	दिल की रानी 
Abdul munim 	अब्दुल मुनीम 
West Sarguja 	वेस्ट सरगुजा 
Aag Aur Daag 	आग और दाग 
Hans Blicks 	हॅन्स ब्लिक्स 
Kurt Wilkinson 	कर्ट विल्किंसन 
Chambal Ki Rani 	चंबल की रानी 
Order of Suvorov 	ऑडर ऑफ सुवोरोव 
Lagunas de Chacachua Lagunas de Montebello 	लागुआन्स डी चाकाचुआ लॅगुनास डे मोन्टेबेलो 
Akalanka Ganegama 	अकलंका गनेगामा 
Alfred Luseno 	एल्फ्रेड लूसेनो 
Vajont Dam 	वेजोंट डैम 
Ian Bell 	इआन बेल 
Keegan Meth 	कीगन मेथ 
Khooni Saya 	खूनी साया 
Padma Bhushan 	पद्‍म भूषण 
Kansas City 	कान्सास सिटी 
Nehemiah Perry 	नेहमियाह पेरी 
Shokh Dilruba 	शोख दिलरुबा 
Nishane Baazi 	‍निशाने बाज़ी 
Jacques Rudolph 	जैक्वेस रुडॉल्फ 
Pricewaterhouse coopers 	प्राइसवॉटरहाउस कूपर्स 
Medal of Pushkin 	मेडल ऑफ पिश्किन 
Russel Arnold 	रुस्सेल आरनॉल्ड 
Insaniyat Ke Dushman 	इंसानियत के दुश्मन 
Abdul mujib 	अब्दुल मुजीब 
Saza E Maut 	सज़ा ए मौत 
Pyar Ka Toofan 	प्यार का तूफान 
University of Leeds 	यूनिवर्सिटी ऑफ लीड्‍स 
Stuart Law 	स्टुअर्ट लॉ 
Fort de gagel 	फोर्ट डे गैगल 
Shakeel Khan 	शकील खान 
Schock Prize in Logic and Philosophy 	श्कॉक प्राइज़ इन लॉजिक एण्ड फिलोसफी 
Brian Luckhurst 	ब्रेन लकहर्स्ट 
Miss India 	मिस इंडिया 
Fort san geronimo 	फोर्ट सैन गेरोनिमो 
Gehra Daag 	गहरा दाग 
Khwaja Nizamuddin Chishti 	ख्वाजा निज़ामुद्दीन चिस्ती 
Kovilar Reservoir 	कोविलर रिज़रवायर 
Lisbon Portela 	लिस्बन पोर्टेला 
Noor Jahan 	नूर जहाँ 
Kulachi Hansraj Model School 	कुलाची हंसराज मॉडेल स्कूल 
Abdul wahaab 	अब्दुल वहाब 
Fort bij vechten 	फोर्ट बिज वेकटन 
Signal hill 	सिग्नल हिल 
Abdur raqeeb 	अब्दुर रकीब 
Rocket Girl 	रॉकेट गर्ल 
Sepik flutes Kanengara 	सेपिक फ्ल्यूट्स कनेनगरा 
Gran Canaria 	ग्रान कनारिया 
Sher Khan 	शेर खान 
Gehra Zakhm 	गहरा ज़ख्म 
Trinidad and Tobago 	त्रिनिदाद एण्ड टोबॅगो 
Plainfield Bible 	प्लेनफिल्ड बायबल 
Roger Tolchard 	रॉजर टोल्चार्ड 
Fred Titmus 	फ्रेड टिटमस 
United Overseas Bank Plaza 	यूनाइटेड ओवरसीस बैंक प्लाज़ा 
Ananda bazar patrika 	आनंद बाज़ार पत्रिका 
Zahid Saeed 	ज़ाहिद सईद 
International Center of Photography 	इंटरनेशनल सेंटर ऑफ फोटोग्राफी 
Hum Se Na Jeeta Koi 	हम से न जीता कोई 
Thirumurthi Reservoir 	थिरुमूर्थी रिज़रवायर 
Mount Carmel School 	माउंट कारमेल स्कूल 
Saint Stanislaus High School. Mumbai 	सेंट स्टेनिस्लॉस हाई स्कूल, मुम्बई 
Sete Cidades 	सेटे सिडाडेस 
Farz Aur Kanoon 	फर्ज़ और कानून 
Sindoor Aur Bandook 	सिंदूर और बंदूक 
Pooja Ke Phool 	पूजा के फूल 
Tandem Cycling 	टैंडम सायकलिंग 
Rupye Ki Kahani 	रुपए की कहानी 
Roy Fredericks 	रॉय फ्रेडरिक्स 
Anokha Prem Yudh 	अनोखा प्रेम युद्ध 
Alipur Duar Junction 	अलीपुर द्वार जंक्शन 
Kabir Khan 	कबीर खान 
Elizabeth Doll 	एलिज़ाबेथ डोल 
Mujrim Kaun Khooni Kaun 	मुजरिम कौन खूनी कौन 
San Remo Music Festival 	सैन रेमो म्युज़िक फेस्टिवल 
Yang Qin 	यैंग किन 
General Slocum 	जनरल स्लोकम 
Vince Hogg 	विंस हॉग 
Ati Visisht Seva Medal 	अति विशिष्ट सेवा मेडल 
Rikki Clarke 	रिकी क्लार्क 
Kiran Bedi 	किरण बेदी 
Mera Dharam 	मेरा धरम 
Daku Aur Jawan 	डाकू और जवान 
Poonam Ka Chand 	पूनम का चाँद 
Badarpur Junction 	बदरपुर जंक्शन 
Chini Jadugar 	चीनी जादूगर 
Gurudwara Nankana Sahib 	गुरूद्वारा ननकाना सहिब 
Ron Hart 	रोन हार्ट 
Haathi Ke Daant 	हाथी के दाँत 
Gopichand Jasoos 	गोपीचंद जासूस 
Alvin Greenidge 	एल्विन ग्रीनिज 
Brooklyn Museum 	ब्रुकल‍िन म्युज़ियम 
Nathan Bracken 	नाथन ब्रेकन 
Minoo Masani 	मीनू मसानी 
Martin Suji 	मार्टिन सूजी 
Anand Aur Anand 	आनंद और आनंद 
Anil Dalpat 	अनिल दल्पत 
Abdul muaid 	अब्दुल मुएद 
Geoff Cook 	जिऑफ कुक 
Brayla Chaurasi 	ब्रायला चौरसी 
Auraiya Kannauj 	औरैया कन्नौज 
Fort bij vuren 	फोर्ट बिज व्युरेन 
Darren Gough 	डॉरेन गॉ 
Ark Royal 	आर्क रॉयल 
Ozarkhed Dam 	ओज़रखेद डैम 
The British Museum 	द ब्रिटिश म्युज़ियम 
Ek Baar Muskura Do 	एक बार मुस्कुरा दो 
Aadhi Raat 	आधी रात 
Ryanair Holdings 	रयानएअर होल्डिंग्ज 
Abdul muhayamin 	अब्दुल मुहायमीन 
Palkon Ki Chhaon Mein 	पलकों की छाँव में 
Mgahinga Gorilla 	मगाहिंगा गोरिल्ला 
Loots Bosman 	लूट्स बॉसमन 
Pyar Ka Pahla Sawan 	प्यार का पहला सावन 
Carry Grant 	कैरी ग्रांट 
Museum of Anthropology 	म्युज़ियम ऑफ एन्थ्रोपॉलॉजी 
Arabian Night 	अरेबियन नाइट 
Wireless Museum 	वायरलेस म्युज़ियम 
West Coast Pape 	वेस्ट कोस्ट पेप 
Linda Ronstadt 	लिंडा रॉन्सडेट 
College Football Awards 	कॉलेज फुटबॉल अवार्ड्‍स 
Main Awara Hoon 	मैं आवारा हूँ 
Dapeng International Plaza 	डापेन्ग इंटरनेशनल प्लाज़ा 
Montshire Museum of Science 	मॉन्टशायर म्युज़ियम ऑफ साइन्स 
Mitti Ke Khilone 	मिट्टी के खिलौने 
Peter Fulton 	पीटर फल्टन 
Rukmani Haran 	रुक्मणी हरण 
Merck Pharma 	मर्क फ़ार्मा 
Paanch Dushman 	पाँच दुश्मन 
Delhi fort 	डेल्ही फोर्ट 
Aaj Ki Taaqat 	आज की ताक़त 
Griffin Poetry Prize 	ग्रिफिन पोएट्री प्राइज़ 
Amar Shakti 	अमर शक्ति 
Little Richard 	लिटिल रिचर्ड 
Pyar Mohabbat 	प्यार मोहब्बत 
Arctic ocean 	आर्कटिक ओशन 
Bin Maa Ke Bhachchey 	बिन माँ के बच्चे 
Shahar Ka Jadu 	शहर का जादू 
Bahu Ho To Aisi 	बहू हो तो ऐसी 
Bank of America Center 	बैंक ऑफ अमेरिका सेन्टर 
Bombay Ki Billi 	बॉम्बे की बिल्ली 
Heeron Ka Chor 	हीरों का चोर 
Municipal Gallery of Rhodes 	म्युन‍िस‍िपल गैलरी ऑफ रोड्स 
Bombay Raat Ki Bahon Mein 	बॉम्बे रात की बाहों में 
Gurudwara Jund Sahib 	गुरूद्वारा जंड साहिब 
Abdul walee 	अब्दुल वली 
Ek Baap Chhe Bete 	एक बाप छह बेटे 
Saba Karim 	सबा करीम 
Lagunas de Zempoala 	लागुआन्स डी ज़ेम्पोआला 
Manjural Islam 	मंजुरल इस्लाम 
Bina Junction 	बीना जंक्शन 
Gurudwara Akal Bunga 	गुरूद्वारा अकाल बुंगा 
Bayer India 	बेयर इंडिया 
Liverpool Community 	लिवरपूल कम्युनिटी 
Bill Clinton 	बिल क्लिंटन 
Police Public 	पुलिस पब्लिक 
SIGNY award 	सिग्नी अवार्ड 
Boschbeek fort 	बॉशबीक फोर्ट 
Derawar fort 	डेरावर फोर्ट 
Anmol Sitarey 	अनमोल सितारे 
Mere Sartaaj 	मेरे सरताज 
Naved Ashraf 	नावेद अशरफ 
Fort mott 	फोर्ट मॉट 
Huge Grant 	ह्यूज ग्रांट 
Gurudwara Guru ke Wadali 	गुरूद्वारा गुरू के वडाली 
Gurudwara Guru ki Kaashi 	गुरूद्वारा गुरू की काशी 
Craig White 	क्रेग व्हाइट 
Ping Pong 	पिंग पॉन्ग 
Manimukthanadhi Reservoir 	मणिमुक्तानधी रिज़रवायर 
Bakhtiyarpur Junction 	बख्तियारपुर जंक्शन 
Sachcha Pyar 	सच्चा प्यार 
Pole vaulting 	पोल वॉल्टिंग 
Ito Yokado 	इतो योकाडो 
Disco Dancer 	डिस्को डांसर 
Royal Bank Of Scotland 	रॉयल बैंक ऑफ स्कॉटलैंड 
Abdul mannan 	अब्दुल मन्नान 
Chambal Ka Badshah 	चंबल का बादशाह 
Bank of America Plaza 	बैंक ऑफ अमेरिका प्लाज़ा 
Robert Bridges 	रॉबर्ट ब्रिजि‍ज 
Kirloskar Group 	किर्लोस्कर ग्रुप 
Commie Awards 	कॉमी अवार्ड्‍स 
Fort howe 	फोर्ट हॉवे 
State Grid 	स्टेट ग्रिड 
Jim Carter 	जिमी कार्टर 
Tony Opatha 	टोनी ओपाथा 
Michelle Nostradum 	मिशेल नॉस्ट्रेडमस 
University of New South Wales 	यूनिवर्सिटी ऑफ न्यू साउथ वेल्स 
Kamran Akmal 	कमरन अकमल 
Aarti Industrie 	आरती इंडस्ट्री 
Sagar Ki Kanya 	सागर की कन्या 
Bhaton Ki Gali 	भटों की गली 
Paris Orly 	पेरिस ऑरले 
Welham Girls' High School, Dehradun 	वेल्हैम गर्ल्स हाई स्कूल, देहरादून 
Choki Sorath 	चोकी सोरथ 
Harshad Mata 	हर्षत माता 
Greg Matthews 	ग्रेग मैथ्यूज 
Hang Khe Rhy 	हैंग की राई 
Ruggiero di Lauria 	रुगेरो दी लॉरिया 
Chor Police 	चोर पुलिस 
Merlin kville 	मर्लिन क्वीले 
Darien War 	डैरियन वार 
Kirin Brewery Company 	किरिन ब्रेवरी कंपनी 
Amavas Ki Raat 	अमावस की रात 
Meri Kahani 	मेरी कहानी 
Ivory Coast 	आयवरी कोस्ट 
General George Castro 	जनरल जॉर्ज कॅस्ट्रो 
Toubro Infotech 	टूब्रो इंफ़ोटेक 
Anokha Modh 	अनोखा मोड़ 
Dirt Bike Racing 	डर्ट बाइक रेसिंग 
Geoff Miller 	जिऑफ मिलर 
Paraye Bas Mein 	पराए बस में 
Ghar Ghar Mein Diwali 	घर घर में दीवाली 
Honeywell Intl 	हनीवेल इंटेल 
Cesar Award 	कैसर अवार्ड 
William Randolph Hearst 	विलियम रेंडॉल्फ़ हर्स्ट 
Muslim Ka Lal 	मुस्लिम का लाल 
Ajay Sharma 	अजय शर्मा 
Kanchan Aur Ganga 	कंचन और गंगा 
Martin Luther 	मार्टिन लुथर 
Gibbs Brothers Medal 	गिब्स ब्रदर मेडल 
Frank Hayes 	फ्रेंक हेस 
Raja Saab 	राजा साब 
Bob Packwood 	बॉब पैकवुड 
Parthiv Patel 	पार्थिव पटेल 
Rahemdil Jallad 	रहमदिल जल्लाद 
Agni Chakra 	अग्नि चक्र 
Lakhon Mein Ek 	लाखों में एक 
John Grisham 	जॉन ग्रिशॅम 
Nagma E Sahara 	नगमा ए सहारा 
Sidhdh yogee 	सिद्ध योगी 
Ravi Shastri 	रवि शास्त्री 
Mazdoor Zindabad 	मज़दूर ज़िंदाबाद 
Dave Richardson 	डेव रिचर्डसन 
Mark Benson 	मार्क बेंसन 
Maxim Garci 	मॅक्ज़िम गॉर्की 
Charkhi Dadri 	चरखी दादरी 
Abdul haq 	अब्दुल हक 
Mark Boucher 	मार्क बूचर 
Cinema Cinema 	सिनेमा सिनेमा 
Abdul alee 	अब्दुल अली 
Business Objects 	बिज़नेस ऑब्जेक्ट्स 
Dennis Rodman 	डेनिस रॉडमन 
Tenet Healthcare 	टेनेट हेल्थकेयर 
Jatin Paranjpe 	जतिन पारंजपे 
Anadoluhisar fort 	एनाडोल्यूहिसर फोर्ट 
Surya Pahar 	सूर्य पहर 
Khooni Mahal 	खूनी महल 
Picklecombe fort 	पिकलकोम्ब फोर्ट 
Gunah Aur Kanoon 	गुनाह और कानून 
Gordon Greenidge 	गॉरडन ग्रीनिज 
Mian Mir 	मिलन मीर 
Alan Knott 	ऐलन नॉट 
Pittsburg church of Christ 	पिट्सबर्ग चर्च ऑफ क्राइस्ट 
Novartis India 	नॉवर्टिस इंडिया 
Naoki Prize 	नाओकी प्राइज़ 
Robbie Kerr 	रॉबी केर 
Harry Truman 	हैरी ट्रुमॅन 
My Friend 	माय फ्रेंड 
King George's War 	किंग जॉर्ज्स वार 
American Electric Power 	अमेरिकन इलेक्ट्रिक पॉवर 
Museum of Islamic Ceramics 	म्युज़ियम ऑफ इस्लाम‍िक स‍िरेम‍िक्स 
Bruce Blair 	ब्रूस ब्लेअर 
Holberg International Memorial Prize 	होल्बर्ग इंटरनेशनल मेमोरियल प्राइज़ 
Fort elson 	फोर्ट एल्सन 
Bill Athey 	बिल एथे 
Salimbeni Prize 	सलीमबेनी प्राइज़ 
Kariakoil Reservoir 	करियाकोइल रिज़रवायर 
Daniel Vettori 	डैनियल वेटोरी 
Jawani Ki Kahani 	जवानी की कहानी 
Harishchandra Taramati 	हरीशचंद्र तारामती 
Bilaspur Road 	बिलासपुर रोड 
Veste coburg 	वेस्ट कॉबर्ग 
Mandy Yachad 	मैन्डी याचड 
Fort steurgat 	फोर्ट स्ट्‍यूर्गेट 
Mujhe Seene Se Laga Lo 	मुझे सीने से लगा लो 
Naya Khoon 	नया खून 
Akzo Nobel 	एक्ज़ो नोबल 
Saradindu Mukherjee 	सरादिंदू मुखर्जी 
Duraundha Junction 	दुरौंधा जंक्शन 
Ann Rand 	एन रैंड 
Geoff Boycott 	जिऑफ बॉयकॉट 
Dehri On Sone 	देहरी ऑन सोने 
Mengkuang Dam 	मेंगक्वांग डैम 
Gulf Oil 	गल्फ़ ऑईल 
Yeh Pyar Nahin 	ये प्यार नहीं 
Zakhmi Aurat 	ज़ख्मी औरत 
Chhupa Chhupee 	छुपा छुपी 
Azadi Ke Baad 	आज़ादी के बाद 
Pilgrim Lutheran 	पिलग्रिम लुथरेन 
Robert Hull Fleming Museum 	रॉबर्ट हल फ्लेमिंग म्युज़ियम 
Chinnar Reservoir 	चिन्नार रिज़रवायर 
Hare Rama Hare Krishna 	हरे रामा हरे क़ृष्णा 
Somerset Maugham Award 	सोमरसेट मॉघम अवार्ड 
Sumitranandan Pant 	सुमित्रानंदन पंत 
Mera Dost Mera Dushman 	मेरा दोस्त मेरा दुश्मन 
Miami University 	मियामी यूनिवर्सिटी 
Johnson Controls 	जॉनसन कंट्रोल्स 
Ashfaq Ahmed 	अश्फाक अहमद 
Shiv Parvati 	शिव पार्वती 
Saint George's 	सेंट जॉर्ज 
Bhagat Ki Kothi 	भगत की कोठी 
Kajal Sharma 	काजल शर्मा 
Miss Mary 	मिस मेरी 
Pyar Ki Pyas 	प्यार की प्यास 
Shaun Tait 	शॉन टैट 
Eastman Kodak 	ईस्टमेन कोडेक 
Aktieselskabet Dampskibsselskabet Torm 4 	एक्टीसल्:कॅबेट डॅम्प्सकीबेसेल्सकॅबेट टॉर्म 4 
Simon Doull 	साइमन डॉल 
Aaj Ki Baat 	आज की बात 
Fort nieuwersluis 	फोर्ट न्युवरस्लुइस 
Farz Ki Jung 	फर्ज़ की जंग 
Air France Klm Group 	एयर फ़्रांस केएलएम ग्रुप 
Durg taranee 	दुर्ग तरणी 
Ashwa Ghosh 	अश्व घोष 
Henry Fielding 	हेनरी फील्डिंग 
Sean Connery 	सीन कोनेरी 
On Track Innovations 	ऑन ट्रेक इनोवेशन 
Cobh Heritage Center 	कोब हेर‍िटेज सेंटर 
Siddhi Vinayak 	सिद्धी विनायक 
Ruth Westheimer 	रूथ वेस्टहीमर 
Fort caroline 	फोर्ट कैरोलीन 
Aaj Ka Yeh Ghar 	आज का यह घर 
Pyara Dushman 	प्यारा दुश्मन 
Coalhouse fort 	कोलहाउस फोर्ट 
Hitesh Modi 	हितेश मोदी 
Kala Chor 	काला चोर 
Naag Champa 	नाग चंपा 
Forbes Gokak 	फ़ोर्ब्स गोकाक 
Martin Kent 	मार्टिन केंट 
Museum of Dionysios Solomos and Eminent Zakynthians 	म्युज़ियम ऑफ डीयॉन‍िस‍ियॉस सोलोमॉस एण्ड एम‍िनेंट झॅक‍िन्थ‍ियन्स 
Monte Lynch 	मोंटे लिंच 
Paap Ki Kamai 	पाप की कमाई 
Nikhil Chopra 	निखिल चोपड़ा 
Rocky mountain house 	रॉकी माउंटेन हाउस 
Synchronised Swimming 	सिंक्रोनाइज़्ड स्विमिंग 
Madan Manjari 	मदन मंजरी 
Gurudwara Saragadi 	गुरूद्वारा सारागड़ी 
American War of Independence 	अमेरिकन वार ऑफ इंडिपेंडेंस 
Cardiff University 	कार्डिफ यूनिवर्सिटी 
Shivlal Yadav 	शिवलाल यादव 
Société Générale 	सोसायटी जनरल 
Bellevue Christian 	बेलेव्यू क्रिश्चियन 
Do Dil 	दो दिल 
University of Durham 	यूनिवर्सिटी ऑफ डरहैम 
Church of the Harvest 	चर्च ऑफ द हार्वेस्ट 
