Hajgiri	ஹாஜ்கிரி
Star	ஸ்டார்
Raameshvar	ராமேஷ்வர்
Vishnupriya	விஷ்ணுபிரியா
Karsan	கர்ஸன்
Ghavri	காவ்ரி
Bunaken	புனாகென்
Vivienne	விவின்னி
Guru	குரு
Ho	ஹோ
Ja	ஜா
Shuru	ஷுரு
Muktsar	முக்ட்சார்
Dennis	டென்னிஸ்
Kucinich	குச்சினிக்
Callie	காலீ
Luanda	லுவான்டா
Najidah	நஜிதா
Interceptor	இன்டர்செப்டர்
Rambha	ரம்பா
Jahm	ஜம்
Muhriz	முஹ்ரிஸ்
Corinthia	கோரின்தியா
Chiragh	சிராக்
Aachaaryasutaa	ஆசார்யாசுதா
Saib	சயிப்
Anirvaan	அனிர்வான்
Duniya	துனியா
Macon	மேகான்
Divis	டிவிஸ்
Labs	லேப்ஸ்
Raghukul	ரகுகுல்
Silverline	சில்வர்லைன்
School,	ஸ்கூல்,
Ghaziabad	காஸியாபாத்
Titanic	டைட்டானிக்
Bakeer	பகீர்
Sahim	சஹிம்
Kalikambal	காளிகாம்பாள்
Mandakranta	மண்டக்ரந்தா
Batu	படு
Dam	டேம்
Giuseppe	கியூஸெப்பே
Garibaldi	காரிபால்டி
Mard-E-Maidan	மார்த்-இ-மைதான்
Anvil	ஆன்வில்
Chyna	சைனா
John	ஜான்
The	தி
Baptist	பாப்டிஸ்ட்
Ghutayf	குடேஃப்
Chandi	சண்டி
Das	தாஸ்
Krishnadeva	கிருஷ்னதேவா
Rajkot	ராஜ்கோட்
Clovis	கிளோவிஸ்
Winston	வின்ஸ்டன்
Davis	டேவிஸ்
Fort	ஃப்போர்ட்
austin	ஆஸ்டின்
Bhaatvadekar	பாத்வதேகர்
Artah	அர்தா
Tanizaki	தனிஸாக்கி
Prize	ப்ரைஸ்
Jab	ஜப்
Andhera	அந்தேரா
Hota	ஹோதா
Hai	ஹை
Sachdeva	சாச்தேவா
Public	பப்ளிக்
School,	ஸ்கூல்,
Rohini	ரோஹினி
Shaheedur	ஷாஹீதுர்
Rahman	ரஹ்மான்
Intisar	இன்டிசார்
Otto	ஓட்டோ
Group	குரூப்
Shoaib	ஷோயப்
Mohammad	மொஹம்மத்
Lee	லீ
Germon	ஜெர்மன்
Vaishnav	வைஷ்ணவ்
Vats	வத்ஸ்
Bansthali	பன்ஸ்தாலி
Niwai	நிவாய்
Jayeshvar	ஜெயேஷ்வர்
Muttee	முத்தீ
Bridge	பிரிட்ஜ்
El-awra	எல்-ஆவ்ரா
Corliss	கோலிஸ்
Kiyedh	கியேத்
Aparna	அபர்ணா
Birmingham	பிர்மிங்கம்
Manon	மேனன்
Akram	அக்ரம்
Khan	கான்
Dodada	டோதாதா
Condecoracion	காண்டெஷோரேசியன்
Miguel	மிக்வெல்
Hidalgo	ஹிடால்கோ
Saregama	சரிகம
India	இந்தியா
Violet	வயோலெட்
Ernie	எர்னி
Dil	தில்
Daulat	தௌலத்
Duniya	துனியா
Sivni	சிவ்னி
Mukhadaa	முகாதா
Aryaman	அர்யாமான்
Hubbard	ஹப்பர்ட்
Medal	மெடல்
Donald	டொனால்ட்
Trump	ட்ரம்ப்
Sham	ஷாம்
Savera	சவேரா
Naim	நயீம்
Najm	நஜிம்
Dausni	தௌஸ்னி
Tum	தும்
Laut	லோத்
Aao	ஆஓ
Hafs	ஹஃப்ஸ்
Dheer	தீர்
Hermes	ஹெர்மெஸ்
Maxim	மேக்சிம்
Garci	கார்சி
Achalapati	அச்சலாபதி
Alaka	அலாகா
Order	ஆர்டர்
of	ஆஃப்
the	தி
Three	த்ரீ
Stars	ஸ்டார்ஸ்
Woh	வஹ்
Din	தின்
Aayega	ஆயேங்கா
Ferguson	ஃபெர்குசன்
Hanste	ஹன்ஸ்டே
Rehna	ரெஹ்னா
Budapest	புடாபெஸ்ட்
Ferihegy	பெரிஹெகி
Prem	பிரேம்
Yatra	யாத்ரா
Kharga	கார்கா
Paul	பால்
Grayson	கிரேசன்
West	வெஸ்ட்
Coast	கோஸ்ட்
Bhat	பட்
Menara	மேனரா
Telekom	டெலிகாம்
headquarters	ஹெட்குவார்டர்ஸ்
Barnstable	பார்ன்ஸ்டேபிள்
Sannata	சன்னாடா
United	யூனைடெட்
Arab	அராப்
Emirates	எமிரேட்ஸ்
Goodlass	குட்லாஸ்
Nerolac	நெரோலாக்
Bajaj	பஜாஜ்
Tempo	டெம்போ
Vishavanbhar	விஷவன்பர்
Kanwarlal	கன்வர்லால்
Sonal	சோனல்
Jinta	ஜின்டா
Konig	கோனிக்
Albert	ஆல்பர்ட்
Amaresh	அமரிஷ்
Junyo	ஜுன்யோ
Aadarsh	ஆதர்ஷ்
Antietam	அன்டியேடம்
Bahiyy	பாஹி
al	அல்
din	தின்
Massey	மஸ்ஸி
University	யூனிவர்சிட்டி
Acharynandana	ஆசார்யனான்தனா
Ashu	அஷு
Animish	அனிமிஷ்
Dumbarton	டம்பர்டன்
Carli	கார்லி
Simon	சைமன்
Abdul	அப்துல்
muneem	முனீம்
Anpadh	அன்பத்
Habib	ஹபிப்
Ozaafar	ஓசாஃப்பர்
Angoothi	அங்கூதி
Azeem	அஸீம்
Hafeez	ஹஃபீஸ்
Bahadur	பஹதூர்
Biscayne	பிஸ்கேன்
Mastani	மஸ்தானி
Abdul	அப்துல்
rafi	ராஃபி
Symona	சிமோனா
Manchester	மேன்செஸ்டர்
Metropolitan	மெட்ரோபாலிட்டன்
University	யூனிவர்சிட்டி
Edakkad	எடக்காட்
Arkaj	அர்கஜ்
Trishagni	டிரிஷாங்னி
Intizar	இன்டிஸார்
Pooran	பூரண்
Waliyah	வலியா
Uinta	உயின்டா
Manoratha	மனோரதா
Laalasaa	லாலஸா
Cholkar	சோல்கர்
Wajahat	வஜஹத்
Naagachanpaa	நாகசன்பா
Rod	ராட்
Marsh	மார்ஷ்
Lomonosov	லொமோனோசோவ்
Gold	கோல்ட்
Medal	மெடல்
Rishiyaketu	ரிஷியகேது
Thames	தேம்ஸ்
Ram	ராம்
Lakhan	லக்கான்
Khuli	குலி
Khidki	கிட்கி
Verity	வெரிடி
Nijjar	நிஜ்ஜார்
Grinham	கிரின்ஹாம்
Sardana	சர்தானா
Alarice	அலரிஸ்
Thurnwald	தர்ன்வால்ட்
Sandhya	சந்தியா
Chhaya	சாயா
Sorrento	சோரன்டோ
1	1
Disabled	டிசேபில்ட்
sailing	செய்லிங்
Jalgaon	ஜல்காவூன்
Vipra	விப்ரா
Collin	கோலின்
Abdul	அப்துல்
mannaan	மன்னான்
Abeedah	அபீதா
Uttara	உத்தாரா
Saint	செயிண்ட்
Joseph's	ஜோஸப்ஸ்
Senior	சீனியர்
Secondary	செக்கன்டரி
School,	ஸ்கூல்,
Kanpur	கான்புர்
Taaraa	தாரா
Darinda	தரிந்தா
Audrey	ஆட்ரே
Hepburn	ஹெப்பர்ன்
Damul	தாமுல்
Amal	அமல்
Silva	சில்வா
South	செளத்
America	அமெரிக்கா
Aajaad	ஆஜாத்
Zeno	ஜெனோ
Fort	ஃப்போர்ட்
lawrence	லாரென்ஸ்
Bhala	பால
Manus	மனுஸ்
Shriman	ஸ்ரீமான்
Satyawadi	சத்யவாதி
Madan	மதன்
Shoeb	ஷோப்
Heer	ஹீர்
Ranjha	ரன்ஜா
Ma	மா
Foi	ஃபோய்
Gokul	கோகுல்
Varyag	வார்யாக்
Tony	டோனி
Blair	ப்ளேர்
Maryum	மர்யூம்
Prem	ப்ரேம்
Naqeeb	நகீப்
Suneeti	சுனீதி
Synchronised	சிங்க்ரனைஸ்ட்
Swimming	ஸ்விம்மிங்
Mohinder	மொஹிந்தர்
Amarnath	அமர்னாத்
BEAVERTON	பேவர்டன்
CHRISTIAN	கிறிஸ்டியன்
Aag	ஆக்
Lago	லகோ
Do	தோ
Sawan	சவன்
Ko	கோ
Alpanaa	அல்பானா
Adelie	அடெலி
Pointer	பாயிண்டர்
Telocation	டெலோக்கேஷன்
Wilkinson	வில்கின்சன்
Kharad	காராத்
Smaram	ஸ்மரம்
Mexican	மெக்சிகன்
Order	ஆர்டர்
of	ஆஃப்
the	தி
Aztec	ஆஸ்டெக்
Eagle	ஈகிள்
Manaakshu	மனாக்ஷூ
Mahaganapati	மகாகணபதி
Bishop	பிஷப்
Magar	மகர்
Upasana	உப்பாசானா
Aadinarayan	ஆதினாராயன்
Aachwal	ஆச்வல்
Andie	ஆன்டி
Delano	டெலேனோ
Anokha	அனோகா
Rishta	ரிஷ்டா
Fort	ஃப்போர்ட்
randall	ரான்டல்
Magan	மகன்
Conner	கோனர்
Bruce	புரூஸ்
French	ஃபிரெஞ்சு
Connor	கோனர்
Arivarasu	அரிவரசு
Reynolds	ரேனால்ட்ஸ்
Lathrop	லத்ரோப்
VistaPrint	விஸ்டாபிரிண்ட்
Limited	லிமிடெட்
Saint	செயிண்ட்
thomas	தோமஸ்
tower	டவர்
Delores	டெலோரெஸ்
Maha	மஹா
Chor	சோர்
Ek	ஏக்
Hi	ஹி
Bhool	பூல்
Golden	கோல்டன்
Raspberry	ராஸ்ப்பெர்ரி
Awards	அவார்ட்ஸ்
Sohail	சோஹைல்
Sajjad	சஜ்ஜத்
Sadoof	சதூஃப்
Pyasi	பியாஸி
Nadi	நதி
Attila	அட்டில்லா
Jozsef	ஜோஸ்செஃப்
Prize	ப்ரைஸ்
Lucy	லுசி
Dustin	டஸ்டின்
Middle	மிடில்
Fail	ஃப்பெய்ல்
Conlan	கோன்லன்
Defiant	டிஃப்பியண்ட்
Illustrious	இலஸ்டிரியஸ்
Adolph	அடால்ப்
University	யூனிவர்சிட்டி
of	ஆஃப்
Canterbury	கேன்டர்பரி
Fort	ஃப்போர்ட்
santo	சான்டோ
domingo	டாமிங்கோ
Shamoodah	ஷமூதா
Gaskin	காஸ்கின்
Karnataka	கர்நாடகா
Biwi	பிவி
Kiraye	கிரயே
Ki	கி
Bhuranyu	பூரண்யூ
The	தி
International	இண்டர்நேஷநல்
Andy	ஆண்டி
Awards	அவார்ட்ஸ்
Roopakumaar	ரூபகுமார்
Lahu	லாஹூ
Ke	கே
Do	டோ
Rang	ராங்
The	தி
tyne	டைன்
turrets	டுர்ரெட்ஸ்
Anantnag	அனன்த்னாக்
Kang	காங்
Barzah	பர்ஜாஹ்
Peso	பெசோ
Rahmat	ரஹ்மத்
Pro	ப்ரோ
Football	ஃபுட்பால்
Hall	ஹால்
of	ஆஃப்
Fame	ஃபேம்
Koyna	கொய்னா
Comcast	காம்காஸ்ட்
Yashaswini	யஷஸ்வினி
Parakram	பராக்ரம்
Yorkshire	யார்க்‌ஷயர்
Dales	டேல்ஸ்
Bhatpur	பட்பூர்
Nairit	நைரித்
Daal	தால்
Mein	மெயின்
Kala	கலா
Raasavihaaree	ராஸவிஹாரீ
Audra	ஆத்ரா
Banwet	பான்வெத்
Glad	கிளாட்
Tidings	டைடிங்ஸ்
Allyson	அலிசன்
Bhartendu	பர்டேண்டு
Harishchndra	ஹரிஷ்சந்திரா
Rajgad	ராஜ்காத்
fort	ஃப்போர்ட்
Hemis	ஹெமிஸ்
Gompa	கோம்பா
Paolo	பாவோலா
Fighter	ஃபைட்டர்
Sheila	ஷீலா
Shishir	ஷிஷிர்
Aparaajit	அபராஜித்
Baariq	பாரிக்
Viraj	விரஜ்
Nishit	நிஷித்
Rand	ராண்ட்
Pardesi	பர்தேஸி
Saiyaan	சையான்
Awaam	ஆவாம்
Vishvajayee	விஷ்வஜயீ
Basant	பசந்த்
Panchami	பஞ்சமி
Virunga	விருங்கா
Angamali	அங்கமாலி
Bajeel	பஜீல்
Astatine	அஸ்டாடின்
Saint	செயிண்ட்
Joseph's	ஜோசப்ஸ்
Boys'	பாய்ஸ்
High	ஹை
School,	ஸ்கூல்,
Bangalore	பெங்களூர்
South	சௌத்
Seminole	செமினோல்
Baptist	பேப்டிஸ்ட்
Gurudwara	குருத்வாரா
Gursagar	குர்சாகர்
Prakash	ப்ரகாஷ்
Mahindra	மஹிந்த்ரா
and	அண்ட்
Mahindra	மஹிந்த்ரா
Dorpveld	டார்ப்வெல்ட்
Depinder	தீபிந்தர்
Mevan	மெவன்
Pieris	பியரிஸ்
Mento	மென்டோ
University	யூனிவர்சிட்டி
of	ஆஃப்
Essex	எஸ்ஸெக்ஸ்
Yogita	யோகிதா
Grimes	கிரிம்ஸ்
Dharmendra	தர்மேந்த்ரா
Khanduja	கன்டுஜா
Jorjanna	ஜோர்ஜன்னா
Vicki	விக்கி
Argonia	அர்கோனியா
Friends	ஃபிரண்ட்ஸ்
Eads	இஎட்ஸ்
Niket	நிகேத்
Donald	டொனால்ட்
Rumsfeld	ரம்ஸ்ஃபெல்ட்
Indo	இண்டோ
Rama	ராமா
Palkon	பால்கோன்
Ki	கி
Chhaon	சாஹான்
Mein	மேன்
Lanier	லானியர்
Axa	ஆக்ஸா
Mamta	மம்தா
Ki	கி
Chhaon	சாவுன்
Mein	மேன்
Boncelles	பான்செல்லெஸ்
fort	ஃப்போர்ட்
Bayana	பயானா
Junction	ஜங்ஷன்
Kapani	கபானி
Logitech	லாகிடெக்
International	இன்டர்நெஷனல்
Azamnagar	அஸம்நகர்
Road	ரோட்
Sulagte	சுலாக்தே
Arman	அர்மான்
Hickory	ஹிக்கரி
Street	ஸ்டிரீட்
Presbyterian	பிரெஸ்பைடிரியன்
Barry	பேரி
Manilow	மனிலோ
Consolidated	கன்சாலிடேட்டட்
Mercantile	மெர்கன்டைல்
Colin	கோலின்
Mahak	மஹக்
Connor	கான்னூர்
Williams	வில்லியம்ஸ்
Goldie	கோல்டி
Haun	ஹான்
Fakir	ஃபகிர்
Badshah	பாட்ஷா
Hanste	ஹன்ஸ்டே
Ansoo	அன்சூ
Duty	டூட்டி
Vaad	வாத்
Nice	நைஸ்
Cote	கோட்
D'azur	டி'அஸூர்
Implacable	இம்பிலேசபிள்
Dadasaheb	தாதாசாஹெப்
Phalke	பால்கே
Nishan-E-Jung	நிஷான்-இ-ஜங்
Achalganj	அசல்கஞ்ச்
Chana	சானா
Usha	உஷா
Martin	மார்டின்
Cape	கேப்
Flattery	பிலாட்டரி
Pehli	பெஹ்லி
Jhalak	ஜாலக்
Raj	ராஜ்
Darbar	தர்பார்
Nadine	நாடைன்
Fort	ஃப்போர்ட்
saint	செயிண்ட்
john	ஜான்
Krishnakumar	கிருஷ்னகுமார்
Fort	ஃப்போர்ட்
scoveston	ஸ்காவெஸ்டன்
University	யூனிவர்சிட்டி
of	ஆஃப்
Maryland	மேரிலேண்ட்
Aslesh	அஸ்லேஷ்
Ayoob	அயூப்
Chander	சந்தர்
Cityspire	சிட்டிஸ்பைர்
Chandel	சான்டெல்
Char	சார்
Diwari	திவாரி
Shaque	ஷாக்
Dhareshwar	தாரேஷ்வார்
Baare	பாரே
Conakry	கோனக்ரி
Karik	காரிக்
Rowing	ரோயிங்
E'temad	எ'டிமாத்
LaGrange	லாகிரான்ஜெ
Dulon	டுலோன்
Vrashaakapaayee	விராஷாகபாயீ
Vrinda	விருந்தா
Savitri	சாவித்ரி
Noakes	நோயேக்ஸ்
Latifah	லதிஃபா
Jagger	ஜாகர்
Fort	ஃப்போர்ட்
le	லெ
vieux	வியூக்ஸ்
Anuradha	அனுராதா
Sana	சனா
Gurudwara	குருத்வாரா
Santokhsar	சந்தோக்சர்
Yusuf	யூசுஃப்
Aachaaryasuta	ஆசார்யாசுதா
Kuberasinh	குபராசின்ஹ்
Kaun	கோன்
Saccha	சாச்சா
Kaun	கோன்
Jhootha	ஜூதா
Umaasut	உமாசுத்
Shravana	ஷரவனா
Akitsu	அகிட்ஸு
Maru	மாரு
Chuck	சக்
Ashoka	அசோக
Chakra	சக்ரா
Cheng	செங்
Strait	ஸ்டிரெயிட்
of	ஆப்
Magellan	மெகாலன்
Baladi	பாலாடி
Willem	வில்லெம்
Telyn	டேலின்
Jaeger	ஜேகர்
Carsyn	கார்ஸின்
Navjot	நவ்ஜோத்
Singh	சிங்
Sidhu	சித்து
Bhapa	பாப்பா
Nisbat	நிஸ்பத்
Thirunarayan	திருநாராயண்
Godse	கோட்சே
Bike	பைக்
racing	ரேசிங்
Ayra	அய்ரா
Oxford	ஆக்ஸஃபோர்ட்
Brookes	ப்ரூக்ஸ்
University	யூனிவர்சிட்டி
Laud	லவுட்
Hindustan	ஹிந்துஸ்தான்
Zinc	ஸிங்க்
Julakka	ஜுலாக்கா
Athula	அதுலா
Samarasekera	சமரசேகரா
Lalithamana	லலிதமானா
Fernando	ஃபெர்னாண்டோ
Bhai	பாய்
Ka	கா
Pyar	பியார்
Declan	டெக்லன்
Agnee	அக்னீ
Pareeksha	பரீக்ஷா
Deewana	தீவானா
Tere	தேரே
Naam	நாம்
Ka	கா
Shawm	ஷாம்
Chandramukhi	சந்திரமுகி
Aaj	ஆஜ்
Ka	கா
Robinhood	ராபின்ஹூட்
Gair	கயிர்
Kanooni	கனூனி
Nayan	நயன்
Mongia	மாங்கியா
Swatantra	ஸ்வந்திரா
Shrey	ஷ்ரேய்
Amar	அமர்
Rahe	ரஹே
Yeh	யேஹ்
Pyar	பியார்
Guriya	குரியா
Ab	அப்
Insaf	இன்சாஃப்
Hoga	ஹோகா
Providence	புரோவிடென்ச்
Jeete	ஜீதே
Hain	ஹெயின்
Shan	ஷான்
Se	சே
Darla	டார்லா
Desari	தேசரி
Round	ரவுண்ட்
dance	டான்ஸ்
Meena	மீனா
Flinders	ஃப்ளிண்டர்ஸ்
University	யூனிவர்சிட்டி
Bhagta	பக்தா
Suhag	சுஹாக்
Raidah	ரய்தா
Christian	கிறிஸ்டியன்
Church	சர்ச்
of	ஆப்
Clarendon	கிளாரென்டன்
Hills	ஹில்ஸ்
Aag	ஆக்
Ka	கா
Toofan	தூஃபன்
Shataansh	ஷதான்ஷ்
Wren	ரென்
Xanthus	ஜேந்தஸ்
Veradis	வெரதிஸ்
Nadirah	நாதிரா
Levar	லேவர்
Burton	பர்டன்
Ladki	லாட்கி
Kristine	கிரிஸ்டி
Pyasi	பியாஸி
Nigahen	நிகாஹென்
Godfrey	காட்ஃப்ரீ
Ibiza	இபிஸா
Jiten_dr	ஜிதேந்தர்
Ibrat	இப்ராத்
Bank	பேங்க்
of	ஆஃப்
Punjab	பஞ்சாப்
Kuldeep	குல்தீப்
Naiyar	நையார்
Constantinople	கான்ஸ்டன்டினோபிள்
Patmanjari	பத்மஞ்சரி
Brian	ப்ரயன்
Lara	லாரா
Dashavtar	தஷாவ்தார்
Cyprus	சைப்ரஸ்
Amrita	அம்ரிதா
preetam	ப்ரீதம்
Aminul	அமினுள்
Islam	இஸ்லாம்
Jon	ஜன்
Lewis	லீவிஸ்
Joseph	ஜோசப்
Stalin	ஸ்டாலின்
Maqsood	மக்ஸூத்
Rana	ரானா
University	யூனிவர்சிட்டி
of	ஆஃப்
Staffordshire	ஸ்டாஃப்போர்ட்ஷேர்
Katni	கட்னி
Parichay	பரிசய்
Deepali	தீபாலி
Padosan	படோசன்
Bijli	பிஜ்லி
Chamke	சம்கே
Jamana	ஜமானா
Par	பர்
Janhavi	ஜானவி
Solah	சோலா
Satra	சாத்ரா
Malika	மலிகா
Salomi	சலோமி
Ramcoind	ராம்கோ இண்ட்
Tahir	டாஹிர்
Naqqash	நஷாக்
Euphemia	இயுபிமியா
Fram	ஃப்பிராம்
Ross	ராஸ்
Edwards	எட்வர்ட்ஸ்
Chandi	சண்டி
Pooja	பூஜா
Nadeem	நதீம்
Gurudwara	குருத்வாரா
Dhobari	தோபரி
Sahib	சாஹிப்
Sanghera	சங்கேரா
Tonganoxie	டோங்கனோக்ஸி
Christian	கிறிஸ்டியன்
Abdul	அப்துல்
mani	மனி
Dasuya	தசூயா
Begu	பேகு
Sarai	சராய்
Osmond	ஓஸ்மந்த்
Ala	அலா
Amaanaath	அமானாத்
Fort	ஃப்போர்ட்
ricasoli	ரிகாஸோலி
Gaya	கயா
Junction	ஜங்ஷன்
Mahotsaah	மஹோத்ஸா
Sultan	சுல்தான்
Kelvin	கெல்வின்
Bijainagar	பிஜாய்நகர்
Radha	ராதா
Krishna	கிருஷ்ணா
Yashoda	யசோதா
Saimah	சைமா
Texas	டெக்ஸாஸ்
Instruments	இன்ஸ்டூரூமென்ட்ஸ்
World	வோர்ல்ட்
Chess	செஸ்
Champions	சாம்பியன்ஸ்
Abdul	அப்துல்
mujib	முஜிப்
Queen	குயின்
Cleopatra	கிளியோபட்ரா
Wolcott	வால்கோட்
Robin	ராபின்
Jackman	ஜேக்மேன்
Devang	தேவாங்
Gandhi	காந்தி
Majd	மாஜ்த்
Apna	அப்னா
Ghar	கர்
Peri	பெரி
Yaar	யார்
Kasam	கஸம்
Jwala	ஜ்வாலா
Daku	தாக்கு
Bahut	பாஹுத்
Din	தின்
Hue	ஹியு
Dard	தர்த்
Kaushal	கௌஷல்
Lokuarachchi	லொக்குவாராச்சி
Syed	சயத்
Rasel	ராசெல்
Tekachand	டேகசந்த்
Smruti	ஸ்ம்ருதி
Daad	டாட்
Nadir	நாதிர்
Shah	ஷா
Indrapriya	இந்திராபிரியா
Hancock	ஹான்காக்
Fort	ஃப்போர்ட்
zachary	ஸாகாரி
taylor	டெய்லர்
Prithvi	பிரித்வி
Vallabh	வல்லாப்
Mahaamantree	மஹாமந்த்ரி
Gearing	கியரிங்
Chaucer	சாசர்
Pahla	பஹலா
Pyar	பியார்
Kamakshi	காமாட்சி
Amman	அம்மன்
Babugarh	பாபுகார்
Brandeis	ப்ராண்டீஸ்
Award	அவார்ட்
Albertsons	ஆல்பர்ட்சன்ஸ்
Petronas	பெட்ரோனஸ்
Tower	டவர்
2	2
Manish	மனீஷ்
Tyanne	டையானி
Parakh	பர்ரக்
Anantram	அனன்த்ராம்
Royal	ராயல்
Ahold	அஹோல்டு
Aakarshan	ஆகார்ஷன்
Kynthia	கின்த்யா
Thuwaybah	துவேபா
Viklav	விக்லவ்
Shobna	ஷோப்னா
Fahd	ஃபாஹத்
Mathmesh	மத்மேஷ்
Shobha	ஷோபா
Nalavade	நளவாதே
Sadhu	சாது
Aur	அவுர்
Shaitan	ஷைத்தான்
Muhtadi	முஹ்தாதி
Bhumika	புமிகா
Alex	அலெக்ஸ்
Tait	டைட்
University	யூனிவர்சிட்டி
of	ஆஃப்
Central	சென்ட்ரல்
England	இங்க்லேண்ட்
Trinculo	டிரின்குலோ
Aulenda	ஔலேண்டா
Jaisalmer	ஜைஸால்மெர்
fort	ஃபோர்ட்
Madhu	மாது
Bansari	பன்சாரி
Harsingaar	ஹர்சிங்கர்
Lokaadhip	லோகதிப்
Raste	ராஸ்தே
Pyar	பியார்
Ke	கெ
University	யூனிவர்சிட்டி
of	ஆஃப்
Hyderabad	ஹைட்ராபாட்
Ameenaa	அமீனா
Masrur	மஸ்ரூர்
Jasbeer	ஜஸ்பீர்
Chandpur	சந்த்பூர்
Nell	நெல்
Fort	ஃப்போர்ட்
popham	பாப்பாம்
Shaalinee	ஷாலினீ
Nadalia	நாடாலியா
Volga	வோல்க்
Custer	கஸ்டெர்
Jharna	ஜார்னா
Aru	அரு
Philippines	பிலிப்பைன்ஸ்
Aon	ஏவோன்
Centre	சென்டர்
Idana	ஐடானா
Ara	அரா
Fort	ஃப்போர்ட்
cartwright	கார்ட்வெயிட்
Winthrop	வின்த்ரோப்
Bhagirathi	பாகிரதி
Kaamchor	காம்சோர்
Chhabili	சப்பிலி
Kiefer	கைஃபர்
Dayle	டேல்
Hadlee	ஹாட்லீ
Chhota	சோட்டா
Bhai	பாய்
Aacharyanandanaa	ஆசார்யானான்தனா
Police	போலிஸ்
Wali	வாலி
Kissa	கிஸ்ஸா
Kursi	குர்ஸி
Ka	கா
Mutazah	முதாஸா
Kali	காலி
Uttar	உத்தர்
Dinajpur	தினஜ்பூர்
Mrage^dr	ம்ரகேந்தர்
Abdul	அப்துல்
hakim	ஹகிம்
Rex	ரெக்ஸ்
Abhinaath	அபினாத்
Vaadkar	வாத்கர்
Ratowal	ரதோவால்
Shane	ஷேன்
Watson	வாட்சன்
Blair	பிளெய்ர்
Hartland	ஹார்ட்லாண்ட்
Brendon	பிரென்டன்
Julian	ஜூலியன்
Shan	ஷன்
Creek	கிரீக்
Community	கம்யூனிட்டி
Bible	பைபிள்
Taruni	தருணி
Danka	டங்கா
Business	பிசினஸ்
Systems	ஸிஸ்டம்ஸ்
Chandni	சாந்தினி
Rani	ராணி
Stanley	ஸ்டான்லி
De	டி
Silva	சில்வா
Abhijvaalaa	அபிஜ்வாலா
Napier	நேப்பியர்
University	யூனிவர்சிட்டி
Vidya	வித்யா
Niketan	நிக்கேதன்
School	ஸ்கூல்
Liyaakat	லியாகத்
Tej	தேஜ்
Andaaz	அந்தாஸ்
Ikshu	இக்ஷூ
Garth	கேர்த்
Brooks	ப்ரூக்ஸ்
Sanor	சனோர்
Durga	துர்கா
Mata	மாதா
Fritzi	ஃப்ரிட்ஸி
Teertha	தீர்த்தா
Sao	சாவோ
Joaquim	ஜாவோகியம்
Constellation	கான்ஸ்டெல்லேஷன்
Duggad	டுக்காட்
Ladki	லாட்கி
Jawan	ஜாவான்
Ho	ஹோ
Gai	காய்
Ravin_dar	ரவீந்தர்
Gurneet	குர்னீத்
Bhai	பாய்
Ho	ஹோ
To	தோ
Asia	ஏசியா
Kenadia	கெனாதியா
Mujhe	முஜே
Insaf	இன்சாஃப்
Chahiye	சாஹியெ
Seif	சிஃப்
David	டேவிட்
Joseph	ஜோசஃப்
Gurpreet	குர்ப்ரீத்
Azaraq	அஸராக்
Dakar	தகார்
Kashmir	காஷ்மிர்
post	போஸ்ட்
Supreme	சுப்ரீம்
Petro	பெட்ரோ
Malinga	மலிங்கா
Bandara	பண்டாரா
Warren	வார்ரன்
Stott	ஸ்டாட்
Agam	ஆகாம்
Mera	மேரா
Gaon	காஓன்
Barkha	பர்க்கா
Bahar	பஹர்
Indravishnu	இந்திராவிஷ்ணு
Pransukh	ப்ரண்சுக்
Barsaat	பர்ஸாத்
Darren	டேரன்
Sammy	சமி
Kyzyl-Kum	கைஸில்-கும்
Ladki	லாட்கி
Sahyadri	சாஹ்யாத்ரி
Ki	கி
Lexi	லெக்ஸி
Edythe	ஈடிதி
Fell	ஃபெல்
Angelo	ஏன்ஜெலோ
University	யூனிவர்சிட்டி
of	ஆஃப்
Bath	பாத்
Harare	ஹராரே
Motilal	மோதிலால்
Ghamandee	கமந்தீ
Jassal	ஜஸ்ஸல்
Perth	பெர்த்
Pramada	பிரமதா
Dakhla	தாக்லா
Caulfield	கால்ஃபீல்ட்
Cup	கப்
Dorel	டோரல்
Industries	இண்டஸ்டிரீஸ்
Lamb	லாம்ப்
Besharam	பெஷாரம்
Apollo	அப்போலோ
Tyres	டயர்ஸ்
University	யூனிவர்சிட்டி
of	ஆஃப்
Hawaii	ஹவாய்
Shintre	ஷின்த்ரே
Zafar	ஸஃபர்
Iqbal	இக்பால்
Verne	வெர்ன்
citadel	சிட்டாடெல்
Samajh	சமஜ்
Mahasati	மஹாஸதி
Tulsi	துல்சி
Bhadraksha	பாத்ராக்ஷா
Tegel	டீகல்
Hem	ஹெம்
Iqbal	இக்பால்
Sikander	சிக்கந்தர்
New	நியூ
Jersey	ஜெர்ஸி
Robert	ராபர்ட்
Haynes	ஹெய்ன்ஸ்
Negi	நேகி
Restoration	ரெஸ்டோரேஷன்
Vijetaa	விஜேதா
India	இந்தியா
Glycols	க்ளைகோல்ஸ்
Amazonia	அமஜோநியா
Betavad	பேடாவாட்
One	ஒன்
Chase	சேஸ்
Manhattan	மான்ஹாட்டன்
Plaza	பிளாஸா
Aadityakeshav	ஆதித்யாகேஷவ்
Holy	ஹோலி
Transfiguration	டிரான்ஸ்ஃபிகரேஷன்
Muqaddar	முகாதர்
Sugar	ஷுகர்
Dianthe	தயந்தே
