Spingarn	ಸ್ಪಿನ್‌ಗರ್ನ್
Kaushal	ಕೌಶಲ್
Lokuarachchi	ಲೋಕರಚ್ಚಿ
Vanaja	ವನಜಾ
Euridice	ಯ್ಯುರಿಡೈಸ್
Major	ಮೇಜರ್
League	ಲೀಗ್
Lacrosse	ಲಾಕ್ರೊಸ್
Offensive	ಅಫೆನ್ಸಿವ್
player	ಪ್ಲೇಯರ್
of	ಆಫ್
the	ದ
Year	ಈಯರ್
Award	ಅವಾರ್ಡ್
Gavotte	ಗವೋಟ್ಟೆ
Sheesha	ಶೀಶಾ
Nilagriv	ನೀಲಗ್ರೀವ್
Chakravarty	ಚಕ್ರವರ್ತಿ
Rajagopalachari	ರಾಜಗೋಪಾಲಚಾರಿ
Amanda	ಅಮಂಡಾ
Rasili	ರಸೀಲೀ
Patthar	ಪತ್ಧರ್
Ki	ಕಿ
Lakeer	ಲಕೀರ್
Hasantha	ಹಸಂತಾ
Fernando	ಫರ್ನಾಂಡೊ
Indrapriya	ಇಂದ್ರಪ್ರಿಯ
Aruppukottai	ಅರುಪ್ಪುಕೋಟೈ
Paul	ಪೌಲ್
Newman	ನ್ಯೂಮ್ಯಾನ್
Aspasia	ಆಸ್ಪೇಶಿಯಾ
Ninon	ನಿನಾನ್
Kamakshi	ಕಾಮಾಕ್ಷಿ
Amman	ಅಮ್ಮನ್
Cassia	ಕೇಸಿಯಾ
Sajidah	ಸಾಜಿದಾ
Pearly	ಪರ್ಲಿ
Petronas	ಪೆಟ್ರೋನಾಸ್
Tower	ಟವರ್
2	2
Nashtar	ನಶ್ತರ್
Vikraant	ವಿಕ್ರಾಂತ್
Parakh	ಪರಖ್
Anantram	ಅನಂತ್‌ರಾಮ್
Royal	ರಾಯಲ್
Ahold	ಅಹೋಲ್ಡ್
Aakarshan	ಆಕರ್ಷಣ್
Viklav	ವಿಕ್ಲವ್
Begam	ಬೇಗಮ್
Akhtar	ಅಖ್ತರ್
Shobna	ಶೋಬನಾ
Ela	ಇಳಾ
Mathmesh	ಮಥಮೇಶ್
Commencement	ಕಮೆನ್ಸ್‌ಮೆಂಟ್
Bay	ಬೇ
Atiya	ಅತಿಯಾ
Sadhu	ಸಾಧೂ
Aur	ಔರ್
Shaitan	ಶೈತಾನ್
Bunker	ಬಂಕರ್
Hill	ಹಿಲ್
Muhtadi	ಮುಹತಾದಿ
Bhumika	ಭೂಮಿಕಾ
Oliver	ಓಲಿವರ್
Stone	ಸ್ಟೋನ್
Bata	ಬಾಟಾ
drums	ಡ್ರಮ್ಸ್
Stu	ಸ್ಟು
Roberts	ರಾಬರ್ಟ್ಸ್
Guenevere	ಗುಯೆನವೆರ್
Kallima	ಕಾಲಿಮಾ
Iraq	ಇರಾಕ್
Jaisalmer	ಜೈಸಲ್ಮೇರ್
fort	ಫೋರ್ಟ್
Madhu	ಮಧು
Bansari	ಬನ್ಸಾರಿ
Baalee	ಬಾಲೀ
Ranjanee	ರಂಜನೀ
Jai	ಜೈ
Mahalaxmi	ಮಹಾಲಕ್ಷ್ಮಿ
Actions	ಆಕ್ಷನ್ಸ್
Semiconductor	ಸೆಮಿಕಂಡಕ್ಟರ್
Omkar	ಓಂಕಾರ್
Mahabahu	ಮಹಾಬಾಹು
Balagopal	ಬಾಲಗೋಪಾಲ್
Masrur	ಮಸ್ರೂರ್
Mellette	ಮೆಲೆಟ್
Tahseen	ತಹಸಿನ್
Nadiyah	ನದಿಯಾ
Nadalia	ನಡಾಲಿಯಾ
American	ಅಮೇರಿಕನ್
Legion	ಲಿಜನ್
Mukut	ಮುಕುಟ್
Jharna	ಝರನಾ
Sunflag	ಸನ್‌ಫ್ಲ್ಯಾಗ್
Iron	ಐರನ್
Junayd	ಜುನಾಯದ್
Mukul	ಮುಕುಲ್
Janan	ಜನನ್
Tarala	ತರಲಾ
Khalidah	ಖಲೀದಾ
Fort	ಫೋರ್ಟ್
cartwright	ಕಾರ್ಟ್‌ವ್ರಿಟ್
Dhwani	ಧ್ವಾನೀ
Fort	ಫೋರ್ಟ್
scott	ಸ್ಕಾಟ್
Paapi	ಪಾಪಿ
Pet	ಪೇಟ್
Ka	ಕಾ
Sawal	ಸವಾಲ್
Hai	ಹೈ
Vedi	ವೇದಿ
Baghauli	ಬಾಗೌಲಿ
Darren	ಡರೆನ್
Gough	ಗೌ
Pyar	ಪ್ಯಾರ್
Karke	ಕರಕೆ
Dekho	ದೇಖೋ
Sen	ಸೆನ್
Crossroads	ಕ್ರಾಸ್‌ರೋಡ್ಸ್
Christian	ಕ್ರಿಶ್ಚಿಯನ್
Center	ಸೆಂಟರ್
Lanza	ಲಂಜಾ
Dayle	ಡೇಯ್ಲ್
Hadlee	ಹ್ಯಾಡ್ಲೀ
Fort	ಫೋರ್ಟ್
efford	ಎಫರ್ಡ್
Araria	ಅರಾರಿಯಾ
University	ಯುನಿವರ್ಸಿಟಿ
of	ಆಫ್
Sunderland	ಸುಂದರ್ಲೇಂಡ್
Dalal	ದಲಾಲ್
Dhvani	ಧ್ವಾನಿ
Pulakit	ಪುಳಕಿತ್
Sihlsee	ಸಿಲ್‌ಸೀ
Claude	ಕ್ಲಾಡ್
Henderson	ಹೆಂಡರ್ಸನ್
Mrage^dr	ಮೃಗೇಂದ್ರ
Pocket	ಪಾಕೆಟ್
Maar	ಮಾರ್
Saroja	ಸರೋಜ
Parolkar	ಪರೋಲ್ಕರ್
Vaaditaa	ವಾದಿತ
Vaadkar	ವಾಡ್ಕರ್
Shane	ಶೇನ್
Watson	ವ್ಯಾಟ್ಸನ್
Gumrah	ಗುಮರಾಹ್
Medals	ಮೆಡಲ್
of	ಆಫ್
Honor	ಆನರ್
Mahatma	ಮಹಾತ್ಮಾ
Kabir	ಕಬೀರ್
Shan	ಶಾನ್
Creek	ಕ್ರೀಕ್
Community	ಕಮ್ಯೂನಿಟಿ
Bible	ಬೈಬಲ್
Mohita	ಮೊಹಿತಾ
Taruni	ತರುಣಿ
Main	ಮೈ
Bhi	ಭೀ
Ladki	ಲಡಕೀ
Hoon	ಹೂ
Corgi	ಕಾರ್ಗಿ
International	ಇಂಟರ್ನ್ಯಾಷನಲ್
Limited	ಲಿಮಿಟೆಡ್
Vietnam	ವಿಯೆಟ್ನಾಂ
Supriy	ಸುಪ್ರಿಯ
Ryanair	ರಾಯನೇರ್
Holdings	ಹೋಲ್ಡಿಂಗ್ಸ್
Xander	ಜಂಡರ್
Rishta	ರಿಶ್ತಾ
Hum	ಹಮ್
Nahin	ನಹೀ
Jhukenge	ಝುಕೇಂಗೆ
Erv	ಎರ್ವ್
Liyaakat	ಲಿಯಾಕತ್
Holly	ಹಾಲಿ
Hunter	ಹಂಟರ್
Matkari	ಮಾಟ್ಕಾರಿ
Nasser	ನಾಸಿರ್
Hussain	ಹುಸೇನ್
Massena	ಮಸೆನ್ನಾ
Abhimaan	ಅಭಿಮಾನ್
Dindigul	ದಿಂಡಿಗಲ್
Mannar	ಮನ್ನಾರ್
Thirumalai	ತಿರುಮಲೈ
Baaghi	ಬಾಗೀ
Gandharva	ಗಂಧರ್ವಾ
Teertha	ತೀರ್ಥಾ
Sao	ಸಾ
Joaquim	ಜೊಕ್ಯುಮ್
Constellation	ಕಾನ್‌ಸ್ಟೆಲೇಶನ್
Boinda	ಬೊಯಿಂದಾ
Do	ದೋ
Bigha	ಬೀಘಾ
Zameen	ಜಮೀನ್
Angada	ಅಂಗದ
Gurneet	ಗುರುನೀತ್
Ram	ರಾಮ್
Ki	ಕಿ
Ganga	ಗಂಗಾ
Khoon	ಖೂನ್
Bhari	ಭರೀ
Maang	ಮಾಂಗ್
Thakare	ಥಾಕರೆ
Maria	ಮಾರಿಯಾ
Shriver	ಶ್ರಿವರ್
Payal	ಪಾಯಲ್
Elmo	ಎಲ್ಮೋ
Gautamee	ಗೌತಮಿ
Kashifah	ಕಶಿಫಾ
Azaraq	ಅಜರಕ್
Bhudhar	ಭೂಧರ್
William	ವಿಲಿಯಮ್
Shakespeare	ಶೇಕ್ಸ್‌ಪಿಯರ್
Hadee	ಹದೀ
Pethkar	ಪೇಠ್ಕರ್
Ogan	ಓಗಾನ್
Kusumaadhiraaj	ಕುಸುಮಾಧಿರಾಜ
Warren	ವಾರೆನ್
Stott	ಸ್ಕಾಟ್
Salamat	ಸಲಾಮತ್
Agam	ಆಗಮ್
Bill	ಬಿಲ್
Lawry	ಲಾರಿ
Tres	ಟ್ರೆಸ್
Garrafon	ಗರಾಫೊನ್
Bhagalpur	ಭಗಲ್ಪುರ್
Murray-Darling	ಮರ್ರೇ-ಡಾರ್ಲಿಂಗ್
Bhargavi	ಭಾರ್ಗವಿ
Upper	ಅಪ್ಪರ್
fort	ಫೋರ್ಟ್
garry	ಗ್ಯಾರಿ
Rhett	ರೇಟ್
Lexi	ಲೆಕ್ಸಿ
Alfonso	ಅಲ್ಫೋನ್ಸೋ
Fell	ಫೆಲ್
Harare	ಹರಾರೆ
Aventis	ಅವೆಂಟಿಸ್
Lynette	ಲಿನೆಟ್
Muheet	ಮುಹೀತ್
Keith	ಕೀತ್
Semple	ಸೆಂಪಲ್
Asghar	ಅಸ್ಗರ್
Pramada	ಪ್ರಮದಾ
Dakhla	ಡಖ್ಲಾ
Gurmura	ಗುರ್ಮುರಾ
Mokokchung	ಮೊಕೊಕ್ಚುಂಗ್
Vaishnodevi	ವೈಷ್ಣೋದೇವಿ
Costa	ಕೋಸ್ಟಾ
Rica	ರಿಕಾ
French	ಫ್ರೆಂಚ್
and	ಅಂಡ್
Indian	ಇಂಡಿಯನ್
War	ವಾರ್
Shintre	ಶಿಂತ್ರೆ
Trilochan	ತ್ರಿಲೋಕಚನ್
Mahasati	ಮಹಾಸತಿ
Tulsi	ತುಲಸಿ
Bhadraksha	ಭದ್ರಾಕ್ಷ
Laksha	ಲಕ್ಷಾ
New	ನ್ಯೂ
Jersey	ಜೆರ್ಸಿ
Clayton	ಕ್ಲೇಟನ್
Lambert	ಲಾಂಬರ್ಟ್
Bahu	ಬಹು
Begum	ಬೇಗಮ್
Neci	ನೇಕಿ
Arun	ಅರುಣ್
One	ಒನ್
Chase	ಚೇಸ್
Manhattan	ಮ್ಯಾನ್‌ಹಾಟನ್
Plaza	ಪ್ಲಾಜಾ
Aadityakeshav	ಆದಿತ್ಯಕೇಶವ್
Sugar	ಶುಗರ್
Bowie	ಬೋವಿ
Qaseem	ಖಾಸಿಂ
Qailah	ಕಿಲಾ
Louise	ಲ್ಯೂಯೀಸಿ
Baankebihari	ಬಾಂಕೆಬಿಹಾರಿ
Mashrafe	ಮಶ್ರೇಪ್
Mortaza	ಮೊರ್ಟಾಜಾ
Khandkar	ಖಂಡಕರ್
Whitfield	ವೈಟ್‌ಫೀಲ್ಟ್
Awaargi	ಆವಾರಗೀ
Mansoor	ಮನ್ಸೂರ್
Al	ಆಲ್
Hallaj	ಹಲ್ಲಜ್
Najmeddin	ನಜ್ಮೆದ್ದೀನ್
Kubra	ಕುಬ್ರಾ
Maqbul	ಮಖಬುಲ್
Marcantonio	ಮಾರ್ಕೆಂಟೋನಿಯೊ
Colonna	ಕೊಲೋನಾ
Jen	ಜೆನ್
Wilmarsdonck	ವಿಲ್ಮಾರ್ಸ್‌ಡಾಂಕ್
Sankalpa	ಸಂಕಲ್ಪಾ
Anthony	ಅಂಥೋನಿ
Abdul	ಅಬ್ದುಲ್
aleem	ಅಲೀಂ
Dammika	ಡಮ್ಮಿಕ
Prasad	ಪ್ರಸಾದ್
Pawan	ಪವನ್
Museum	ಮ್ಯೂಸಿಯಂ
of	ಆಫ್
African	ಆಫ್ರಿಕನ್
Art	ಆರ್ಟ್
Malayala	ಮಲಯಾಳ
manorama	ಮನೋರಮಾ
Dharmanand	ಧರ್ಮಾನಂದ್
Grawemeyer	ಗ್ರಾವೆಮೆಯರ್
Award	ಅವಾರ್ಡ್
Lev	ಲೆವ್
Lew	ಲೆವ್
Jaan	ಜಾನ್
Hatheli	ಹಥೇಲೀ
Pe	ಪೆ
Leu	ಲೇವ್
Ceri	ಸೆರಿ
China	ಚೀನಾ
Life	ಲೈಫ್
Insurance	ಇನ್ಷೂರೆನ್ಸ್
Raat	ರಾತ್
Ki	ಕೆ
Baat	ಬಾತ್
Hinduism	ಹಿಂದೂಯಿಸಂ
Nishad	ನಿಶಾದ್
Kala	ಕಾಲಾ
Pani	ಪಾನಿ
Umesh	ಉಮೇಶ್
Ab	ಅಬ್
Aayega	ಆಯೆಗಾ
Mazaa	ಮಝಾ
Cedi	ಸೆಡಿ
North	ನಾರ್ತ್
Sea	ಸೀ
Canal	ಕೆನೆಲ್
Saaz	ಸಾಜ್
Mummy	ಮಮ್ಮಿ
Daddy	ಡಾಡಿ
Jeanette	ಜೀನತ್
Galop	ಗ್ಯಾಲೊಪ್
Rahul	ರಾಹುಲ್
Dravid	ದ್ರಾವಿಡ್
Beri	ಬೆರಿ
Vaatve	ವಾಟವೆ
Beti	ಬೇಟಿ
Fort	ಫೋರ್ಟ್
frederick	ಫ್ರೆಡ್ರಿಕ್
Gerald	ಗೆರಾಲ್ಡ್
Peckover	ಪೆಕೋವರ್
Shwadhinota	ಶ್ವಾಡಿನೊಟಾ
Dibosh	ಡಿಬೋಶ್
Puroskar	ಪುರೊಸ್ಕಾರ್
Jayasinh	ಜಯಸಿಂಹ
Gurudwara	ಗುರುದ್ವಾರ
Bibhor	ಬಿಭೋರ್
Sahib	ಸಾಹಿಬ್
Saluja	ಸಲೂಜಾ
Bedi	ಬೇಡಿ
Gargekar	ಗಾರ್ಗೆಕರ್
Vishraant	ವಿಶ್ರಾಂತ್
Charles	ಚಾರ್ಲೆಸ್
Stark	ಸ್ಟಾರ್ಕ್
Draper	ಡ್ರಾಪರ್
Prize	ಪ್ರೈಜ್
Sahab	ಸಹಾಬ್
Titan	ಟೈಟನ್
Industries	ಇಂಡಸ್ಟ್ರೀಸ್
Dhanishta	ಧನಿಷ್ಠ
Jayanti	ಜಯಂತಿ
Ray	ರೇ
Charles	ಚಾರ್ಲ್ಸ್
Pratapgad	ಪ್ರತಾಪ್‌ಗಢ್
Sahim	ಸಹೀಮ್
Sahil	ಸಾಹಿಲ್
Aag	ಆಗ್
Ke	ಕಿ
Sholay	ಶೋಲೋ
Mangal	ಮಂಗಲ್
Pandey	ಪಾಂಡೆ
Neelanjan	ನೀಲಾಂಜನ್
Mawlana	ಮಾವ್ಲಾನಾ
Faizani	ಫೈಜಾನಿ
Pak	ಪಾಕ್
Daman	ದಾಮನ್
Graham	ಗ್ರಹಾಂ
Ford	ಫೋರ್ಡ್
David	ಡೇವಿಡ್
Smith	ಸ್ಮಿತ್
Nasamajh	ನಾಸಮಝಾ
Jeff	ಜೆಫ್
Midday	ಮಿಡ್‌ಡೇ
Multi	ಮಲ್ಟಿ
Davis	ಡೇವಿಸ್
Kossuth	ಕೋಸುತ್
Prize	ಪ್ರೈಜ್
Japan	ಜಪಾನ್
Post	ಪೋಸ್ಟ್
Gunah	ಗುನಾಹ್
Swiss	ಸ್ವಿಸ್
Reinsurance	ರಿಇನ್ಷೂರೆನ್ಸ್
Khushee	ಖುಷೀ
Chianki	ಛಿಯಾಂಕಿ
Trudy	ಟ್ರುಡಿ
Aviva	ಅವಿವಾ
Fort	ಫೋರ್ಟ್
san	ಸ್ಯಾನ್
felipe	ಫೆಲಿಪ್
Tilottama	ತಿಲೋತ್ತಮ
Wadech	ವಡೈಚ್
Dantewada	ಡಾಂಟೆವಾಡ
Aachaarynandana	ಆಚಾರ್ಯನಂದನಾ
Fields	ಫೀಲ್ಡ್ಸ್
Medal	ಮೆಡಲ್
Kahani	ಕಹಾನಿ
Kismat	ಕಿಸ್ಮತ್
Ki	ಕಿ
Visisht	ವಿಶಿಷ್ಟ್
Seva	ಸೇವಾ
Medal	ಮೆಡಲ್
Roy	ರಾಯ್
Honorary	ಹಾನರರಿ
Citizen	ಸಿಟಿಜನ್
of	ಆಫ್
the	ದ
United	ಯುನೈಟೆಡ್
States	ಸ್ಟೇಟ್ಸ್
Kiev	ಕೀವ್
Zahid	ಝಹೀದ್
Razzak	ರಜಾಕ್
Allahabad	ಅಲ್ಲಾಹಾಬಾದ್
Bank	ಬ್ಯಾಂಕ್
Sevilla	ಸೆವಿಲ್ಲಾ
Southern	ಸದರ್ನ್
Petrochem	ಪೆಟ್ರೋಕೆಮ್
Salado	ಸಲಾಡೊ
Bryant	ಬ್ರ್ಯಾಂಟ್
Aarohan	ಆರೋಹಣ್
Mutazah	ಮುತಾಝಾ
Viplav	ವಿಪ್ಲವ
Arnold	ಆರ್ನಾಲ್ಡ್
Schwarzenegger	ಶ್ವಾಜನೆಗರ್
Rawdah	ರಾವದಾ
Cantara	ಕೆಂಟಾರಾ
Orbotech	ಆರ್ಬೋಟೆಕ್
Huzayl	ಹುಜಯಾಲ್
Vaad	ವಾಡ್
Atish	ಆತಿಷ್
Nazaria	ನಜರಿಯಾ
Erode	ಈರೋಡ್
Junction	ಜಂಕ್ಷನ್
Silsila	ಸಿಲ್‌ಸಿಲಾ
Mrinmayi	ಮೃಣ್ಮಯಿ
Sukhdev	ಸುಖದೇವ್
La	ಲಾ
Fayette	ಫಯಿಟಿ
Veerendra	ವೀರೇಂದ್ರ
Dominican	ಡೊಮಿನಿಕನ್
Republic	ರಿಪಬ್ಲಿಕ್
Angoori	ಅಂಗೂರಿ
Maan	ಮಾನ್
Meg	ಮೇಗ್
Dil	ದಿಲ್
Hi	ಹೀ
Dil	ದಿಲ್
Mein	ಮೇ
Samit	ಸಮಿತ್
Order	ಆರ್ಡರ್
of	ಆಫ್
the	ದ
Cross	ಕ್ರಾಸ್
of	ಆಫ್
the	ದ
Eagle	ಈಗಲ್
Pahunche	ಪಹುಂಚೆ
Hue	ಹುಯೆ
Log	ಲೋಗ್
Schock	ಸ್ಕೋಕ್
Prize	ಪ್ರೈಜ್
in	ಇನ್
Musical	ಮ್ಯೂಜಿಕಲ್
Arts	ಆರ್ಟ್ಸ್
Anmol	ಅನ್ಮೋಲ್
Ratan	ರತನ್
Bitterroot	ಬಿಟ್ಟರ್‌ರೂಟ್
Calvary	ಕ್ಯಾಲ್ವರಿ
Baptist	ಬ್ಯಾಪ್ಟಿಸ್ಟ್
Surat	ಸೂರತ್
Aakhri	ಆಖಿರಿ
Mujra	ಮುಜರಾ
Suraj	ಸೂರಜ್
Deo	ಡಿಯೊ
Manzar	ಮಂಜರ್
Pratosh	ಪ್ರತೋಶ್
Bhopal	ಭೋಪಾಲ್
Junction	ಜಂಕ್ಷನ್
Fernado	ಫೆರ್ನೆಡೊ
de	ಡಿ
Noronha	ನೊರೊನ್ಹಾ
Marine	ಮೆರಿನ್
Othello	ಒಥೆಲೋ
Rossa	ರೊಸಾ
Aadhi	ಆದಿ
Roti	ರೋಟಿ
Varadraja	ವರದರಾಜ
Perumal	ಪೆರುಮಾಳ್
Vajra	ವಜ್ರ
Suzy-q	ಸೂಜೀ-ಕ್ಯೂ
Adwakee	ಅದ್ವಾಕೀ
Seeta	ಸೀತಾ
Swayamvar	ಸ್ವಯಂವರ್
Trevor	ಟ್ರೆವರ್
Franklin	ಫ್ರಾಂಕ್ಲಿನ್
Inline	ಇನ್‌ಲೈನ್
skating	ಸ್ಕೇಟಿಂಗ್
Surinder	ಸುರಿಂದರ್
Bhima	ಭೀಮಾ
Wilson	ವಿಲ್ಸನ್
Castle	ಕ್ಯಾಸ್ಟಲ್
Xenos	ಜೆನೋಸ್
Vernados	ವೆರ್ನದಾಸ್
Bob	ಬಾಬ್
Massie	ಮಾಸಿ
Acropolis	ಆರ್ಕೋಪೊಲೀಸ್
Museum	ಮ್ಯೂಸಿಯಂ
Modinha	ಮೊದಿನ್ಹಾ
Thanjavur	ತಂಜಾವೂರ್
Halers	ಹೆಲೆರ್ಸ್
Avataar	ಅವತಾರ್
Bouvet	ಬೋವೆಟ್
Aadinaaraayan	ಆದಿನಾರಾಯಣ
Right	ರೈಟ್
Livelihood	ಲೈವ್‌ಲಿಹುಡ್
Award	ಅವಾರ್ಡ್
Thatte	ಥತ್ತೆ
Fort	ಫೋರ್ಟ್
bij	ಬಿಜ್
rhijnauwen	ರಿಜ್‌ನೌವೆನ್
Subhash	ಸುಭಾಷ್
Mukhopadhyay	ಮುಖೋಪಾಧ್ಯಾಯ್
Alboran	ಅಲ್ಬೊರಾನ್
Kaltham	ಕಲ್ತಾಮ್
Belwalkar	ಬೆಲ್ವಾಲ್ಕರ್
Kathie	ಕೇಥೀ
Delran	ಡೆಲ್‌ರನ್
First	ಫಸ್ಟ್
United	ಯುನೈಟೆಡ್
Methodist	ಮೇಥೋಡಿಸ್ಟ್
Lower	ಲೋವರ್
Saxony	ಸ್ಯಾಕ್ಸೋನಿ
Wadden	ವಾಡನ್
Sea	ಸೀ
Mushtaq	ಮುಷ್ತಾಕ್
Ahmed	ಅಹ್ಮದ್
Sean	ಸೀನ್
Davies	ಡೇವಿಯಸ್
Gurudwara	ಗುರುದ್ವಾರ
Chamkaur	ಚಾಮ್ಕೌರ್
Sahib	ಸಾಹಿಬ್
Vevay	ವೆವೆ
Ubadah	ಉಬದಾ
Purus	ಪುರುಸ್
Frank	ಫ್ರಾಂಕ್
Sinatra	ಸಿನಾತ್ರಾ
Tango	ಟ್ಯಾಂಗೊ
Bombay	ಬಾಂಬೆ
samachar	ಸಮಾಚಾರ್
Mulgaonkar	ಮುಳಗಾವಕರ್
Savita	ಸವಿತಾ
Chemical	ಕೆಮಿಕಲ್ಸ್
Himax	ಹಿಮಾಕ್ಸ್
Technologies	ಟೆಕ್ನಾಲಜೀಸ್
Fakhtah	ಫಕಾತಾಹ್
Dainik	ದೈನಿಕ್
janasadharan	ಜನಸಾಧಾರಣ್
Mill	ಮಿಲ್
Mazdoor	ಮಜದೂರ್
Ashraf	ಅಶ್ರಾಫ್
Jahangir	ಜಹಾಂಗಿರ್
Samnani	ಸಮ್ನಾನಿ
Atul	ಅತುಲ್
Balaji	ಬಾಲಾಜಿ
Telefilm	ಟೆಲಿಫಿಲ್ಮ್
Sanath	ಸನತ್
Jayasuriya	ಜಯಸೂರ್ಯ
Atal	ಅಟಲ್
Dingankar	ದಿಂಗಂನ್ಕರ್
Duduk	ಡುಡುಕ್
Glenn	ಗ್ಲೆನ್
Turner	ಟರ್ನರ್
Retalix	ರಿಟಾಲಿಕ್ಸ್
Mahamaya	ಮಹಾಮಾಯಾ
Khatoon	ಖತೂನ್
Roland	ರೋಲಂಡ್
Holder	ಹೋಲ್ಡರ್
Sagar	ಸಾಗರ್
Ka	ಕಾ
Sher	ಶೇರ್
Abdul	ಅಬ್ದುಲ್
munim	ಮುನೀಂ
Sadaf	ಸದಫ್
Barsuan	ಬರ್ಸುಯಾನ್
Titus	ಟಿಟೂಸ್
Kurt	ಕರ್ಟ್
Wilkinson	ವಿಲ್ಕಿನ್ಸನ್
Fort	ಫೋರ್ಟ್
benghisa	ಬೆಂಗಿಶಾ
Order	ಆರ್ಡರ್
of	ಆಫ್
Suvorov	ಸುವೊರೊವ್
Caliana	ಕೇಲಿಯಾನಾ
Sadhna	ಸಾಧನಾ
Alfred	ಅಲ್ಫ್ರೆಡ್
Luseno	ಲುಸೆನೊ
Birju	ಬಿರ್ಜೂ
Ustad	ಉಸ್ತಾದ್
Man	ಮನ್
Ka	ಕಾ
Aangan	ಆಂಗನ್
Deenabandhu	ದೀನಬಂಧು
Believers	ಬೆಲಿವೆರಿಸ್
Faruq	ಫಾರುಖ್
Angoor	ಅಂಗೂರ್
Kannanur	ಕಣ್ಣನೂರ್
Barsha	ಬರ್ಷಾ
Gandhapalin	ಗಂಧಪಾಲಿನ್
Calais	ಕಾಲೇಸ್
Glenyon	ಗ್ಲೆನ್‌ಯೋನ್
Chhoti	ಛೋಟೀ
Si	ಸೀ
Mulaqat	ಮುಲಾಕಾತ್
Abhinandan	ಅಭಿನಂದನ್
Shokh	ಶೋಖ್
Dilruba	ದಿಲರುಬಾ
Saarthak	ಸಾರ್ಥಕ್
Jermaine	ಜರ್ಮೈನ್
Lawson	ಲಾಸನ್
Radetzky	ರಾಡೆಟ್‌ಜೈಕ್
Mamaji	ಮಾಮಾಜಿ
Kartar	ಕರ್ತಾರ್
Naarlekar	ನಾರ್ಲೆಕರ್
Ihsan	ಇಹ್ಸಾನ್
Beraham	ಬೆರಹಮ್
Sicily	ಸಿಸಿಲಿ
Preussen	ಪ್ರಿಯುಸೆನ್
Saz	ಸಾಜ್
Discus	ಡಿಸ್ಕಸ್
Anjalee	ಅಂಜಲೀ
Lowell	ಲಾವೆಲ್
Zwyndrecht	ಝ್ವಿಂಡ್ರೆಚ್
Saza	ಸಾಜಾ
E	ಎ
Maut	ಮೌತ್
Amita	ಅಮಿತ
Pyar	ಪ್ಯಾರ್
Ka	ಕಾ
Toofan	ತೂಫಾನ್
Allemande	ಅಲಿಮಂಡೆ
Deekshaapati	ದೀಕ್ಷಾಪತಿ
Dave	ದವೇ
Gilbert	ಗಿಲ್ಬರ್ಟ್
Frissiras	ಫ್ರಿಸಿರಸ್
Museum	ಮ್ಯೂಸಿಯಂ
University	ಯುನಿವರ್ಸಿಟಿ
of	ಆಫ್
Leeds	ಲೀಡ್ಸ್
Zulfaqar	ಜುಲ್ಫಕರ್
Vishvaroop	ವಿಶ್ವರೂಪ್
Faysal	ಫೈಜಲ್
Providence	ಪ್ರಾವಿಡೆನ್ಸ್
Baptist	ಬ್ಯಾಪ್ಟಿಸ್ಟ್
Sayar	ಸಯರ್
Fort	ಫೋರ್ಟ್
de	ಡಿ
gagel	ಗ್ಯಾಗೆಲ್
Martin	ಮಾರ್ಟಿನ್
Crowe	ಕ್ರೋವ್
Soolagiri	ಸೋಲಾಗಿರಿ
chinnar	ಚಿನ್ನಾರ್
Reservoir	ರಿಜರ್ವಾಯರ್
Gavan	ಗವಾನ್
Manikuntala	ಮಣಿಕುಂತಲಾ
Miss	ಮಿಸ್
India	ಇಂಡಿಯಾ
Khursheed	ಖುರ್ಷೀದ್
Telstra	ಟೆಲ್‌ಸ್ಟ್ರಾ
Janta	ಜನತಾ
Hawaldaar	ಹವಲದಾರ್
Marisela	ಮ್ಯಾರಿಸೆಲಾ
Nikunja	ನಿಕುಂಜಾ
Krishnakali	ಕೃಷ್ಣಕಲಿ
Jyot	ಜ್ಯೋತ್
Jale	ಜಲೆ
Akolner	ಅಕೋಲ್ನೇರ್
Gehra	ಗೆಹರಾ
Daag	ದಾಗ್
Ramswaroop	ರಾಮಸ್ವರೂಪ
Tendulkar	ತೆಂಡುಲ್ಕರ್
Wafiyah	ವಾಫಿಯಾ
Camila	ಕ್ಯಾಮಿಲಾ
Chandrabhaan	ಚಂದ್ರಭಾನ್
Majd	ಮರ್ದ್
Salwaan	ಸಲ್ವಾನಾ
Onega	ಒನೇಗಾ
Charles	ಚಾರ್ಲ್ಸ್
De	ಡಿ
Gaulle	ಗೌಲೆ
Mehendale	ಮೆಹೆಂದಲೆ
Jabin	ಜಬಿನ್
Badi	ಬಡೀ
Didi	ದೀದಿ
Abdul	ಅಬ್ದುಲ್
wahaab	ವಹಾಬ್
El	ಎಲ್
Horria	ಹೋರಿಯಾ
Baltic	ಬಾಲ್ಟಿಕ್
Manjeer	ಮಂಜೀರ್
Signal	ಸಿಗ್ನಲ್
hill	ಹಿಲ್
Bassi	ಬಸ್ಸಿ
Lotta	ಲೊಟ್ಟಾ
Irfan	ಇರ್ಫಾನ್
Bhatti	ಭಟ್ಟಿ
Bijnaur	ಬಿಜ್ನೋರ್
Lal	ಲಾಲ್
Kothi	ಕೋಠಿ
Lotte	ಲೊಟ್ಟೆ
Sagar	ಸಾಗರ್
Pranjivan	ಪ್ರಾಣಜೀವನ್
Bazid	ಬಾಜಿದ್
Khan	ಖಾನ್
