ajed	আজেদ
hanwha	হানোয়া
rushdie	রুশদি
gupte	গুপ্তে
tufan	তুফান
dalkolha	ডালকোলহা
bandanarani	বন্দনারাণী
northampton	নরথাম্পটন
runarani	রুনারানী
zunheboto	জুনহেবোটো
brooks	ব্রুকস
mountains	মাউন্টেনস
nazima	নাজিমা
wakefield	ওয়েকফিল্ড
dibakar	দিবাকর
conagra	কোনার্গ
ramdas	রামদাস
motiwale	মোতিওয়ালে
roksana	রোকসানা
evan	ইভান
rubijan	রুবিজান
vuren	বুরেন
merry	মেরি
lytton	লিটন
paramhansa	পরমহংস
greek	গ্রীক
pratidin	প্রতিদিন
lufthansa	লুফথান্স
nicobar	নিকোবর
chaughule	চৌগুলে
bubu	বুবু
jones	জন্স
ramnandan	রামনন্দন
mars	মার্সমঙ্গল
anurupa	অনুরুপা
fipple	ফিপলে
firojahamed	ফিরোজআহমদ
charlemagne	চার্লিমাগনে
binapani	বিনাপানি
parthiv	পার্থিভ
nasirali	নাসিরআলি
richards	রিচার্ড
mursalim	মুরসালিম
younis	যুনিস
surajit	সুরজীত্
monash	মোনাশ
rituparna	রিতুপর্না
nitrogen	নাইট্রোজেন
nurjahan	নুরজাহান
hon	হন
taylor	টেলর
palande	পালান্ডে
natabar	নটবর
dandiya	ডান্ডিয়া
kamalika	কমলিকা
max	ম্যাক্স
amtek	অ্যামটেক
more	মোরে
manika	মণিকা
lohit	লোহিত
nick	নিক
buffalo	বাফেলো
tota	তোতা
glorious	গ্লোরিয়াস
shibucharan	শিবুচরন
oldenberg	ওল্ডেনবার্গ
manjura	মঞ্জরা
vanadium	ভ্যানাডিয়াম
ankur	অঙ্কুর
bhulanpur	ভূলানপুর
kaliram	কালীরাম
saagu	সাগু
akbar	আকবর
sutrishna	সুতৃষ্ণা
badagara	বাদাগারা
sneha	স্নেহা
smoker	স্মোকার
mutki	মুটকী
emael	ইমেল
mantu	মান্টু
denman	ডেনমান
pulma	পুলমা
bhasin	ভাসিন
indiana	ইন্ডিয়ান
ballal	বেল্লাল
challenger	চ্যালেঞ্জার
mitarani	মিতারানী
ajir	আজির
quadrille	কোয়াড্রিল
dulali	দুলালি
pontisse	পন্টিসে
shiuji	সিউজী
deuel	দেউল
rituparna	ঋতুপর্ণা
cheng	চেং
christy	ক্রিস্টি
east	ইস্ট
jarina	জারিনা
insurance	ইনসিওরেন্স
madonna	ম্যাডোনা
bheede	ভিদে
matibibi	মতিবিবি
dua	দোউআ
bisle	বিসলি
dominic	ডোমিনি্ক
minubegam	মিনুবেগম
firozabad	ফিরোজাবাদ
bernard	বার্নাড
seribu	সেরিবু
sabira	সাবিরা
general	জেনেরেল
maharamali	মহরমআলি
jhabua	ঝাবুয়া
chakravarty	চক্রবর্তী
elephant	এলিফ্যান্ট
pakija	পাকিজা
atarra	আটারা
suprabha	সুপ্রভা
lanka	লঙ্কা
adaitacharan	অদ্বৈতচরন
novorossysk	নোভোরসিস্ক
samarpita	সমর্পিতা
cork	কোরক
mirjahan	মিরজাহান
ushakov	উশাকোভ
mangli	মঙ্গলী
fischer	ফিসার
manjusha	মঞ্জুষা
shag	শাগ
debalina	দেবলীনা
cope	কোপ
mirabegam	মীরাবেগম
tejon	টিজোন
shukla	শুক্লা
freestyle	ফ্রিস্টাইল
khirod	ক্ষীরোদ
gavin	গেভিন
rejakali	রেজাকআলি
squibb	স্কুইব
mario	মারিয়ো
laari	লারি
khukumani	খুকুমনি
maricopa	মেরিকোপা
gomsta	গোমস্তা
lanoptics	ল্যানঅপটিক্স
nagaland	নাগাল্যাণ্ড
mundale	মুন্ডালে
bidesh	বিদেশ
out	আউট
quetzal	কুয়েতজল
vanavil	বনবিল
afroj	আফরোজ
fattanwala	ফট্টানওয়ালা
cornwallis	কর্ণওয়ালিশ
rafiul	রফিউল
doot	দূত
birbal	বীরবল
rinku	রিঙ্কু
gunu	গুনু
ganashakti	গনশক্তি
surveillante	সার্ভেলেন্ট
manoranjan	মনোরঞ্জন
s	এস
shildebi	শীলদেবী
dirac	ডিরাক
faijun	ফইজুন
mafizur	মাফিজুর
manjadari	মঞ্জদরী
gangtok	গ্যাংটক
cobain	কোবাইন
selkirk	সেলকির্ক
afsari	আফসারী
nalanda	নালন্দা
castle	ক্যাস্টেল
chacachua	কাকাকহুয়া
rambai	রামবাঈ
citadelle	সিতাডেলা
mandip	মনদীপ
cape	কেপ
petrobrás	পেট্রোব্রাস
sugar	সুগার
kemijarvi	কেমিজার্ভি
australia	অস্ট্রেলিয়া
news	নিউজ
steel	স্টিল
wadhwa	ওয়াধ্বা
strydom	স্ট্রেডম
hirendra	হীরেন্দ্র
fransworth	ফ্রানসোর্থ
dombivili	দোমবিভিলি
rafikuddin	রফিকউদ্দিন
block	ব্লক
labakumar	লবকুমার
garry	গেরি
kantiram	কান্তিরাম
khanuja	খানুজা
electro	ইলেক্ট্রো
ball	বল
soman	সোমান
irsad	ইরশাদ
bishani	বিশানী
indefatigable	ইন্ডেফ্যাটিজেবল
belarani	বেলারাণী
mccracken	ম্যাকক্রাকেন
golamali	গোলামআলী
kef	কেফ
bolivar	বলিভার
cocacola	কোকাকোলা
kashim	কাশিম
gadwal	গাদওয়াল
shankarchandra	শঙ্করচন্দ্র
prag	প্রাগ
popal	পোপল
karimun	কারিমুন
santosh	সন্তোষ
norwich	নোরওইচ
bodwad	বোদয়াদ
debidas	দেবিদাস
chaha	চাহা
balance	ব্যালেন্স
chitraranjan	চিত্রবালা
hamblen	হামব্লেন
kutubali	কুতুবআলি
alauddin	আলাউদ্দিন
nasrul	নাসরুল
bialik	বিয়ালিক
nepi	নেপী
ahmadpur	আহমাদপুর
shalu	শালু
jorhat	জোড়হাট
groucho	গ্রৌচ
stream	স্ট্রিম
nadira	নাদিরা
milonga	মিলংগা
damini	দামিনী
kanhai	কানহাই
konikarani	কনিকারানী
tiruvattar	তিরুভাত্তর
jahanara	জাহানারা
luzerne	লুজার্নে
gopichand	গোপীচাঁদ
ahmed	আহমেদ
noseba	নোসেবা
saamra	সামরা
bank	ব্যাঙ্ক
nightingale	নাইটিঙ্গেল
granite	গ্র্যানাইট
manab	মানব
eudora	ইউডোরা
parabi	পরবী
halifax	হালিফক্স
samiul	সমিউল
dhaleshwari	ঢলেশ্বরী
sem	সেম
honeywell	হনিওয়েল
chausala	চৌসলা
dholka	ধোলকা
mitalirani	মিতালীরানী
rotterdam	রোটার্ডডাম
tenet	টিনিট
developers	ডেভেলপারস
cooch	কুচ
gemini	জেমিনি
nanibala	ননীবালা
sodium	সোডিয়াম
rajkumari	রাজকুমারী
jhunjhunu	ঝুনঝুনু
charlton	চার্লটন
bontebok	বন্টেবুক
parbhin	পারভিন
tatenda	টাটেন্ডা
chandanarani	চন্দনারানী
nadeem	নাদিম
siddika	সীদ্দিকা
upashantha	উপাসন্থ
rousanarabibi	রওসানারাবিবি
cryptologic	ক্রিপটোলজিক
rodney	রডনি
chunekar	চুনেকর
ansu	অংশু
gwalpada	গোয়ালপাড়া
kevin	কেভিন
kisite	কিসিতে
khaleda	খালেদা
bokajan	বোকাঞ্জন
debilal	দেবীলাল
royal	রোয়াল
twist	টুইস্ট
dharanidhar	ধরণীধর
liers	লিয়ার্স
sader	সাদের
daily	ডেলি
haddin	হাদ্দিন
phaniram	ফনিরাম
hafez	হাফেজ
nikhil	নিখীল
cronos	ক্রোনোস
rod	রড
mungre	মুঙ্গরে
hiralal	হীরালাল
minuet	মিনুট
dasharathi	দাশরথি
paper	পেপার
chaurasia	চৌরাশিয়া
ambardekar	আম্বারদেকার
parimal	পরিমল
allan	আল্লান
prabhuram	প্রভুরাম
lakhimpur	লাখিমপুর
chaudury	চৌধুরী
ukkusiksalik	উক্কুসিকসালিক
tarani	তরণী
yagareddy	যগারেড্ডি
trump	ট্রুপ
haida	হাইদা
jaga	জগা
arkansas	আর্কানসাস
arabinda	অরবিন্দ
australia	আস্ট্রেলিয়া
raja	রাজা
durafe	দুরাফে
raoshanara	রওশনারা
aegean	এইগেন
wars	ওয়ার
jibankrishna	জীবনকৃষ্ণ
hammond	হামোন্ড
bapankumar	বাপনকুমার
software	সফটওয়ার
prasad	প্রসাদ
gharpure	ঘোড়পাড়ে
rahamatali	রহমতআলি
haroon	হারুন
sadhanbala	সাধনবালা
requin	রিকুইন
manajit	মনজিত্
attah	আট্টাহ
alfred	অ্যালফার্ড
ladoga	লাডোগা
mahima	মহিমা
raleigh	রলিগ
lohou	লোহোউ
nandy	নন্দী
dhariwal	ধারিওয়াল
merengue	মেরেনগুই
kalidas	কালীদাস
malay	মালয়
all	অল
labs	ল্যাব
koyna	কোইনা
sandhu	সিন্ধু
dibarani	দিবারানী
theodore	থিওডোর
supratik	সুপ্রতীক
activity	অ্যাকটিভিটি
ruplekha	রুপলেখা
chlorine	ক্লোরিন
harimati	হরিমতি
accommodation	অ্যাকোমোডেশান
bonn	বন
farm	ফার্ম
kopran	কোপরান
chintalapudi	চিন্তালাপুড়ি
talav	তলভ
farukhossain	ফারুকহোসেন
albukerk	আলবুকার্ক
cuba	কিউবা
samtel	স্যামটেল
bobby	ববি
bamhani	বামহানি
kantadevi	কান্তাদেবী
darshan	দর্শণ
binati	বিনতী
viljoen	ভিলজোয়েন
korbanali	কোরবানআলী
avenue	এভিনিউ
najifa	নজিফা
taconic	তাকোনিয়া
himadri	হিমাদ্রি
valley	ভেলি
lakshmibegam	লক্ষীবেগম
korba	কোর্বা
charlemagne	চার্লেম্যাগনে
owl	আউল
akhtari	আখতারি
monterey	মন্টেরে
sajalkumar	সজলকুমার
presbyterian	প্রেসবাইটেরিয়ান
dinanath	দীননাথ
darien	ডারিয়েন
jamerali	জামেরআলী
cotton	কোট্টন
hritwik	ঋত্বিক
howe	হোয়ে
benubala	বেনুবালা
kullu	কুল্লু
sharma	শর্মা
bighorn	বিগহর্ন
sajal	সজল
rafique	রাফিক
mathuramohan	মথুরমোহন
tama	টামা
shriparna	শ্রীপর্ণা
shungare	শুঙ্গারে
shampa	শম্পা
khalda	খালদা
ganjam	গনজাম
nirmalendu	নির্মলেন্দু
rice	রিক
sheikhansar	সেখআনসার
akolner	আকোলনার
shilabati	শীলাবতী
athar	আথার
bhaktibala	ভক্তিবালা
brandeis	ব্রান্ডেইজ
panchanan	পঞ্চানন
cosmo	কসমো
reba	রেবা
pimple	পিম্পল
sabbir	সাব্বির
gazi	গাজি
bhabanirani	ভবানীরানী
kural	কুরাল
deryck	ডেরিক
alazuddin	আলাঊদ্দিন
pickens	পিকেন্স
lipa	লিপা
keep	কিপ
masid	মাসিদ
loews	লোয়েস
pradesh	প্রদেশ
saakhare	সাখারে
bilu	বিলু
vipat	ভিপাট
shanku	শঙ্কু
juneja	জুনেজা
rangana	রঙ্গনা
arunarani	অরুনারানী
kathak	কথথক
jagamohan	জগমোহন
curium	কুরিয়াম
habib	হাবীব
amal	আমল
ekramuddin	এক্রামুদ্দিন
charbhuja	চারভূজা
dipalirani	দিপালীরাণী
dildarnagar	দীলদারনগর
muktirani	মুক্তিরাণী
kamrup	কামরুপ
opra	ওপরা
selwyn	সেলউইন
phani	ফনি
cycling	সাইক্লিং
diptirani	দীপ্তিরানী
ferihegy	ফেরিহেগী
sunday	সানডে
lupin	লুপিন
chohtan	চোহতান
kalan	কালান
asrafali	আশরফআলী
dhaliwal	ধালিওয়াল
hurst	হুরস্ট
prabhin	প্রভীন
audiocodes	অডিওকোডেস
shields	শিল্ড
seas	সিজ
sadhan	সাধন
simmons	সিমন্স
banojari	বনওযারী
kong	কং
koustabh	কৌস্তভ
mahal	মহল
daryl	ডারিল
rudrani	রুদ্রানী
tom	টোম
belejan	বেলেজান
bayazid	বায়াজিদ
niroda	নীরোদা
indium	ইনডিয়াম
kusumbibi	কুসুমবিবি
zahringen	জাহরিনজেন
masrub	মসরুর
andrew	আনদ্রিও
parthana	প্রার্থনা
kapali	কাপালি
baraminya	বড়মিঞা
fatwa	ফাটওয়া
latibuddin	লতিবুদ্দিন
abisso	আবিসো
hemingway	হেমিংওয়ে
crete	ক্রীট
bablu	বাবলু
walkley	ওয়াল্কলে
ramapada	রামাপদ
prabhat	প্রভাত
atlantic	আটলান্টিক
orthofix	অর্থোফিক্স
dalmia	ডালমিয়া
kainji	কাঞ্জি
elizabeth	এলিজাবেথ
walgreen	ওয়ালগ্রীন
omax	ওম্যাক্স
deori	দেওরি
goshainganj	গোষ্ণাইগঁঞ্জ
apurbakumar	অপুর্বকুমার
yadagirigutta	যাদগিরিগুট্টা
surabhi	সুরভী
halwarvi	হালওয়াভি
babugarh	বাবুগড়
soumodip	সৌমদীপ
mateo	মাটিও
venezuela	ভেনেজুয়েলা
iro	আয়র
samir	সমীর
nasiruddin	নাসিরুদ্দিন
nurshobha	নূরশোভা
rama	রাম
subir	সুবীর
drama	ড্রামা
fajela	ফজেলা
rupana	রুপানা
soutzos	সোউতজোস
burton	বার্টোন
pirulal	পিরুলাল
danapur	দানাপুর
baniprasad	বানীপ্রসাদ
brookes	ব্রুকেস
renukarani	রেনুকারানী
genco	জেনকো
cronkite	ক্রনকাইট
pandey	পান্ডে
gokul	গোকুল
shillingford	শিলিংফোর্ড
indradeb	ইন্দ্রদেব
svirka	সভির্কা
bishwabandhu	বিশ্ববন্ধু
fareham	ফারেহাম
rafiq	রাফিক
rabia	রাবিয়া
nephajul	নেফাজুল
venture	ভেনচার
fajira	ফজিরা
kalibunga	কালিবাঙ্গা
stone	স্টোন
coast	কোস্ট
madhu	মধু
powell	পাওয়েল
mostakim	মোসতাকিম
ocean	ওশেন
otto	ওটো
cement	সিমেন্ট
karanjwan	কারঞ্জওয়ান
antah	অন্ত
sadhucharan	সাধুচরন
dix	ডিক্স
rashmi	রশ্মি
anglia	আঙ্গলিয়া
munnalal	মুন্নালাল
kakrala	কাকরালা
evanston	ইভানস্টোন
nitish	নীতিশ
delran	ডেলরাম
naosed	নওসেদ
rajgad	রাজগড়
sukal	সুকল
rockford	রকফোর্ড
frederick	ফ্রেডেরিক
tractors	ট্র্যাক্টরস
dharmapuri	ধর্মপুরী
agas	আগাস
sharmila	শর্মিলা
banca	বানকা
manju	মঞ্জু
menai	মেনাই
haladhar	হলধর
durg	দুর্গ
jimmy	জিমি
cerro	সেরো
mafuja	মাফুজা
frontzos	ফ্রোন্টজস
parthapratim	পার্থপ্রতীম
canada	কানাডা
hitchcock	হিচকক
chad	চ্যাড
malati	মালতী
chaurasi	ছৌরাসি
dhiren	ধিরেন
tidjani	টিডজানি
nosema	নোসেমা
city	সিটি
environement	এনভারমেন্ট
arts	আর্টস
daspur	দাসপুর
irawati	ইরাবতী
in	ইন
goetze	গোয়েতজ
sihlsee	সিলসি
akzo	একজো
banbhatta	বানভট্ট
garnet	গার্নেট
mili	মিলি
akitsu	আকিতসু
rupashri	রুপশ্রী
canaan	কানান
nirup	নিরূপ
midlands	মিডল্যান্ডস
universal	ইউনিভার্শাল
navabharat	নবভারত
deganga	দেগঙ্গা
round	রাউন্ড
debtanu	দেবতনু
chhinda	ছিন্দা
orly	ওরলি
sprint	স্প্রিন্ট
steels	স্টীলস
chilkahar	চিল্কাহার
bhimsa	ভীমসা
krishnadas	কৃষ্ণদাস
paum	পাউম
baptist	ব্যাপিস্ট
gunung	গুনুঙ্গ
shefali	শেফালী
shamisen	শামিসেন
mandira	মন্দিরা
dinakaran	দিনাকারন
gholvad	ঘোলভাদ
sudhirchandra	সুধীরচন্দ্র
andersen	অন্ডেরসন
basanti	বাসন্তি
rakaab	রাকাব
bandan	বন্দন
zaporizhian	জ্যাপোরিজিয়ান
sentu	সেন্টু
hillier	হিলার
phanibhusan	ফণিভুষণ
barry	বরি
madhabilata	মাধবিলতা
oregon	ওরেগন
manjura	মঞ্জুড়া
goldsmith	গোল্ডস্মিথ
bachcha	বাচ্চা
bareilly	বারেলি
munnibegam	মুন্নিবেগম
zhukov	জুকোভ
rupban	রুপবান
leacock	লেয়াকুক
raichad	রাইচাঁদ
powerful	পাওয়ারফুল
sajjat	সাজ্জাত
beohari	বিওহারি
hamidabibi	হামিদাবিবি
metropolitan	মেট্রোপোলিটন
radhabinod	রাধাবিনোদ
yang	ইয়ঙ্ক
mukulrani	মুকুলরাণী
saint	সেন্ট
morgan	মোরগন
tempo	টেম্পো
tochi	টোছি
tekri	টাকরি
biswa	বিশ্ব
dasher	দশের
shashibala	শশীবালা
jangpuri	জাঙ্গপুরি
shringarpure	শিঙ্গারপুর
shamik	শমীক
gudha	গুধা
najimaddin	নাজিমদ্দিন
agra	আর্গা
umashankar	উমাশংকর
hida	হিদা
harun	হারুন
allstate	অলস্টেট
moyers	মোয়ের্স
wind	উইন্ড
rina	রিনা
improved	ইম্প্রুভড
bhaswati	ভাস্বতী
canal	ক্যানাল
millicom	মিলিকম
aventis	অ্যাভেন্টিস
thakral	ঠাক্রাল
ashtekar	আশতেকার
shibapada	শিবপদ
sidewise	সাইডোয়াইস
rabirul	রবিরুল
kuruvilla	কুরুবিল্ল
tarangini	তরঙ্গিনী
bel	বেল
prabal	প্রবাল
annes	আন্নেস
tukibala	টুকীবালা
bae	বোয়ে
bhattacharya	ভট্টাচার্য
cook	কুক
harish	হরিশ
parkway	পার্কওয়ে
sudan	সুদান
scie	সায়েন্স
renu	রেনু
courage	কার্জ
mariram	মরিরাম
wells	উইলস
marfatali	মারফতআলি
of	ওফ
tempu	টেম্পু
barajas	বারজাস
toyota	টয়োটা
mirc	মির্ক
dalu	দালু
daisy	ডেইজি
ashraful	আশরাফুল
cesar	কেসার
parirani	পরীরাণী
saunders	সুন্দরস
batila	বতিলা
mohammad	মাহম্মাদ
kalimuddin	কলিমদ্দিন
bhavani	ভবানী
sumitra	সুমিত্রা
grandmasters	গ্রান্ডমাস্টারস
bilkis	বীলকীস
eastland	ইস্টল্যান্ড
aindrala	ঐন্দ্রিলা
ujala	উজালা
litan	লিটান
majitha	মাজিথা
bhachau	ভাছাউ
hasinabegam	হাসিনাবেগম
op	ওপ
laboni	লাবনী
loungani	লোউঙ্গানি
bhilad	ভিলাদ
umakanti	উমাকান্ত
coangos	কোয়াংগোস
arnold	আর্নল্ড
admiralty	অ্যাডমিরাল্টি
putul	পুতুল
talha	তালহা
mamatarani	মমতারাণী
dodballapur	ডোদবাল্লপুর
rangalal	রঙ্গঁলাল
dauram	দাউরাম
bibekranjan	বিবেকরঞ্জন
reformed	রিফর্মেড
nishit	নিশীথ
chandok	চন্দক
mangat	মানঘাট
porter	পোর্টার
baburali	বাবুরআলি
khabar	খবর
vytautas	ভিটাউটাস
maneja	মানেজা
bhonra	ভোনরা
kanailal	কানাইলাল
kershaw	কার্স
khudiram	ক্ষুদিরাম
acropolis	অকরোপোলিস
champions	চ্যাম্পিয়ান
nurali	নুরালি
mundra	মুন্দ্রা
consolidated	কনসোলিডেটেড
richard	রিচার্ড
matondkar	মাতন্ডকার
lalbabu	লালবাবু
queensboro	কুইন্সবোরো
lempira	লেম্পিরা
videocon	ভিডিওকন
abbas	আববাস
holdings	হোল্ডিংস
lloyd	লয়েড
shidhaye	সিন্ধে
asmat	আসমত
munaf	মুনাফ
najrulali	নজরুলআলি
chapple	চ্যাপেল
muktalata	মুক্তলতা
raj	রাজ
worden	ওরডেন
satpal	সতপাল
kamal	কামাল
brajanty	ব্রজন্তী
mahanama	মাহানামা
astorani	অষ্টরাণী
parthasarathi	পার্থসারথী
shoukata	শৌকত
quickstep	কুইকস্টেপ
durba	দূর্বা
jhutti	ঝুট্টি
canopus	ক্যানোপাস
bichachha	বিচ্ছ
viv	ভিভ
kallabati	কাল্লাবতী
junction	জংশন
shachibala	শচীবালা
qutbuddin	কোতুবউদ্দিন
nejima	নেজিমা
choquella	চোকুইলা
paramananda	পারমানন্দ
akodia	আকোদা
silpi	শিল্পি
binny	বিন্ন্য
nisatun	নিসাতুন
bawa	বাওয়া
nik	নীক
rome	রোম
target	টার্গেট
garments	গারমেন্টস
chowringhee	চৌরঙ্গী
amroha	অমরোহা
sadananda	সদানন্দ
ara	আরা
sarika	সারিকা
martinez	মার্টিনেজ
yuan	ইয়ন
investment	ইনভেসমেন্ট
anita	অনিতা
pakhowalia	পাখোওয়ালিয়া
mola	মোলা
runi	রুনি
bakhtiyarpur	বকতিয়ারপুর
annapurna	অন্নপূর্ণা
dharmapuri	ধর্মপুর
manojkanti	মনোজকান্তি
gallery	গ্যালারী
eleftherios	এলেফথেরিওস
enso	এনসো
liberty	লিবার্টি
chittur	চিত্তুর
alliance	অ্যালিয়্যান্স
cosby	ক্রোসবে
swan	সোয়ান
rakhi	রাখী
annavaram	আন্নাভারম
sakshi	সাক্ষী
instrumental	ইন্সট্রুমেন্টাল
bilashi	বিলাশী
garewal	গারিওয়াল
shaksha	শাক্ষা
mandakini	মন্দাকিনি
hawthornden	হাথোর্ন্ডেন
bijuli	বিজুলী
hell	হেল
pound	পাউণ্ড
beltron	বেলট্রন
ajima	আজিমা
palladium	প্যালাডিয়াম
putuldevi	পুতুলদেবী
zakir	জাকির
mahabulla	মহবুল্লা
saluja	সালুজা
lawrence	লাওরেন্স
rupu	রুপু
chandan	চন্দন
tasminabibi	তসমিনাবিবি
providence	প্রভিডেন্স
palan	পালান
barhni	বারহনি
rinkudevi	রিঙ্কুদেবী
progressive	প্রগ্রেসিভ
nilmani	নীলমনি
antimony	অ্যানিমনি
seraj	সেরাজ
paul	পাল
golokpati	গোলকপতি
bishop	বিশপ
parven	পারভেন
gondal	গোন্ডাল
swapnarani	স্বপ্নারাণী
arshad	অরশয়দ
tilakbala	তিলকবালা
saswadkar	সাসওয়াদকার
rumki	রুমকী
sajeewa	সাজেইয়া
anjalirani	অঞ্জলীরানী
jhajjar	ঝাজ্জর
chandravardai	চন্দ্রভারদাই
tarangire	তারাঙ্গিরে
nuresa	নুরেসা
gogna	গোগনা
laeeq	লায়েক
saraladebi	সরলাদেবী
lenawee	লেনাওয়ে
giribala	গিরীবালা
rabat	রাবাট
jhumpa	ঝুম্পা
manzoor	মানসোর
sikandar	সিকান্দর
matkari	মাতকারি
shamita	শমিতা
otago	ওটাগো
rejahosen	রেজাহোসেন
rockingham	রকিংহাম
chandmukhi	চাঁদমুখী
di	দি
barida	বারিদা
barpali	বারপালি
rehanabibi	রেহানাবিবি
mizmar	মিজমার
bipattaran	বিপত্তারণ
queens	কুইন্স
rebatibala	রেবতীবালা
bamori	বামোরি
anjushree	অঞ্জুশ্রী
deogan	দেওগাঁও
brindabala	বৃন্দাবালা
ritha	রিথা
badsha	বাদশা
hameed	হামেদ
surabala	সুরাবালা
norfolk	নরফক
xyratex	জিরাটেক্স
philips	ফিলিপস
dharamjaigarh	ধরমজয়গড়
monty	মোটি
mohita	মোহিতা
darqawi	দারকোতী
nantu	নাণ্টু
buffalo	বাফালো
gabon	গ্যাবন
satyam	সত্যম
afjal	আফজল
agrawal	আগরওয়াল
chipurupalle	চিপুরুপাল্লি
nishibala	নিশিবালা
kaluwitharana	কলুথারানা
ashokarani	অশোকারানী
virtuti	ভিরতুতি
rammohan	রামমোহন
draper	ড্রাপার
puspen	পুষ্পেন
gole	গোলি
sinalibegam	সোনালীবেগম
wardha	ওয়ার্ধা
track	ট্রাক
palmolive	পামোলিভ
chittar	চিত্তর
srinivasan	শ্রীনিভাসন
puntubala	পুঁটবালা
seraphim	সেরাফিম
mahasin	মহাসীন
randall	র্যানডল
lukhu	লুখু
vii	সপ্তম
bhabananda	ভবানন্দ
mahanadi	মহানদী
scailex	স্ক্যাইলেক্স
hind	হিন্দ
channagiri	চান্নাগিরি
bektash	বকটেস
nijarul	নিজারুল
austro	অস্ট্রো
jabakusum	জবাকুসুম
kesari	কেশরী
maru	মারু
rupkumar	রূপকুমার
giraj	গিরাজ
bolivar	বোলিভার
ajitkumar	অজিতকুমার
sachdeva	সাচদেভা
farrukhabad	ফারুখাবাদ
gurdjieff	গার্জিয়েফ
halimun	হালিমুন
sabana	সাবানা
bayern	বেয়ার্ন
basudeo	বাসুদেও
supaul	সুপাল
presley	প্রেসলি
mawal	মাওয়াল
baren	বরেন
kon	কোন
mahinur	মহিনূর
heath	হেথ
labangalata	লবঙ্গলতা
derick	ডেরিক
aratirani	আরতিরানি
bulwark	বুলওয়ার্ক
bikarma	বিকর্মা
ron	রোন
kapileswar	কপিলেশ্বর
madugalle	মাদুগালে
alokkanti	অলককান্তি
filiberto	ফিলিবার্তো
binata	বীনতা
gynaecology	গাইনোলজি
nabadwip	নবদ্বীপ
futuremedia	ফিউচারমিডিয়া
warren	ওয়ারেন
nimkar	নিমকার
gadai	গদাই
nevin	নেভিন
rinarani	রীনারাণী
austin	অসটিন
muralimohan	মুরলীমোহন
bulfin	বুফিন
rinabegam	রিনাবেগম
ewen	ইয়েন
rubinath	রুবিনাথ
arch	আর্চ
kara	কারা
times	টাইমস
johara	জোহরা
zainabad	জেইনাবাদ
fajlurrahaman	ফজলুররহমান
wickers	উইকার্স
bangi	বাঙ্গী
lysa	লায়সা
safik	সাফিক
shpella	শফেলা
leu	লিউ
telefims	টেলেফিল্মস
yusuf	ইউসুফ
deshnok	দেশনক
brijnandan	ব্রিজনন্দন
schilde	শিল্ড
sudebi	সুদেবী
northern	নর্দান
jibanbala	জীবনবালা
matt	মাট
shantilata	শান্তিলতা
heart	হাট
caribe	ক্যারিবি
aditya	আদিত্য
kshirsagar	ক্ষীরসাগর
bhudeb	ভূদেব
patale	পাতাল
alfred	অ্যালফ্রেড
ontario	অন্টারিও
masuda	মসুদা
anne	এন্নে
sharmi	শর্মি
niwai	নিয়াই
fuljanbibi	ফুলজানবিবি
shakeel	সাকেল
subra	সুব্রা
javed	জাভেদ
satendra	সতেন্দ্র
oil	ওয়েল
mcentire	ম্যাকেনটায়ার
borgaonkar	বোরগাঁওকার
samsura	সামসুরা
khubgaonkar	খুবগাঁওকার
shakil	শাকিল
thilina	থিলিনা
anadabala	আনন্দবালা
kup	কুপ
aksana	আকসানা
tirupparamkunram	তিরুপ্পারামকুনরাম
taradevi	তারাদেবী
ambalapuzha	আমবালাপুজহা
shribas	শ্রীবাস
josephat	জোসেফাত
radhabala	রাধাবালা
reykjavik	রেয়িকজাভিক
tukai	টুকাই
cameroon	ক্যামেরুন
charki	চড়কি
amlakhurd	আমলাখুদ
sanchit	সঞ্চিত
capilano	ক্যাপিলানো
zambia	জাম্বিয়া
thomson	থম্পসন
sita	সীতা
piet	পিট
matirani	মতিরানী
vince	ভিন্স
rakhidabi	রাখীদেবী
person	পারসন
bhuli	ভূলি
maal	মাল
bishal	বিশাল
corgi	কোর্জি
renee	রেনি
taranekar	তারানেকার
saokatali	সওকতআলি
canoe	কানো
joygobindra	জযগোবিন্দ
shun	সাং
kankana	কঙ্কনা
imali	লামালি
bandhan	বন্ধন
kalikambal	কালিকম্বল
amirulhak	আমিরুলহক
harsaru	হার্সারু
shantisudha	শান্তিসুধা
marengo	মরেনগো
bhudur	ভুদুর
afzaal	আফজাল
rahamanali	রহমানআলি
order	ওর্ডার
mandip	মন্দীপ
dingwahi	দিংওয়াহি
musidabegam	মুসিদাবেগম
darryl	ড্রেল
amirhosen	আমিরহোসেন
inayat	নায়ত
nibedita	নিবেদীতা
caja	কাজা
parameshwari	পরমেশ্বরী
sajeewa	সাজেয়া
ahannan	আঃহান্নান
bhimasar	ভিমাসার
rituparna	ঋতুপর্না
klop	ক্লোপ
mithun	মিথুন
contemporary	কনটেমপোরারী
kalirai	কালিরাই
gagroli	গাগরোলি
major	মেজর
bhabasankar	ভবশংকর
bilhaur	বিলহাউর
gourirani	গৌরীরানী
wright	রাইড
shaktirani	শক্তিরানী
nabha	নাভা
dapodi	দাপোদি
basantilata	বাসন্তীলতা
bidre	বিদ্রে
bundy	বান্ডি
da	দা
hasiba	হাসিবা
padaiyaatjiyaar	পদাইয়াতজিয়ার
